1246	15844514211231253015.wav	في أواخر عام 2015، أنشأت "توجي نت" راديو "أسترو نت " كمحطة إذاعية تابعة.	في أواخر عام 2015، أنشأت توجي نت راديو أسترو نت  كمحطة إذاعية تابعة	ف ي | أ و ا خ ر | ع ا م | 2 0 1 5 ، | أ ن ش أ ت | ت و ج ي | ن ت | ر ا د ي و | أ س ت ر و | ن ت | ك م ح ط ة | إ ذ ا ع ي ة | ت ا ب ع ة |	135360	MALE
412	16165200545885371149.wav	يمكن أن تخترق السهام المُطلقة من الأقواس القاتلة دروع الجنود المتنافسين. قدم الآشوريون أول سلاح فرسان في حوالي عام 1000 قبل الميلاد.	يمكن أن تخترق السهام المُطلقة من الأقواس القاتلة دروع الجنود المتنافسين قدم الآشوريون أول سلاح فرسان في حوالي عام 1000 قبل الميلاد	ي م ك ن | أ ن | ت خ ت ر ق | ا ل س ه ا م | ا ل م ُ ط ل ق ة | م ن | ا ل أ ق و ا س | ا ل ق ا ت ل ة | د ر و ع | ا ل ج ن و د | ا ل م ت ن ا ف س ي ن | ق د م | ا ل آ ش و ر ي و ن | أ و ل | س ل ا ح | ف ر س ا ن | ف ي | ح و ا ل ي | ع ا م | 1 0 0 0 | ق ب ل | ا ل م ي ل ا د |	193920	FEMALE
138	3481185802592592597.wav	كثيراً ما يموت السمك بسبب التركز العالي للسموم في المياه.	كثيراً ما يموت السمك بسبب التركز العالي للسموم في المياه	ك ث ي ر ا ً | م ا | ي م و ت | ا ل س م ك | ب س ب ب | ا ل ت ر ك ز | ا ل ع ا ل ي | ل ل س م و م | ف ي | ا ل م ي ا ه |	82560	FEMALE
68	5360792548986192976.wav	عندما بدأ المستأجرون مشاركة ما حدث لهم، أدركت معظم العائلات المعنية فجأة أن كارولين ويلسون من هيئة الإسكان في أوكلاند قد سرقت ودائع التأمين الخاصة بهم، وهربت خارج المدينة.	عندما بدأ المستأجرون مشاركة ما حدث لهم أدركت معظم العائلات المعنية فجأة أن كارولين ويلسون من هيئة الإسكان في أوكلاند قد سرقت ودائع التأمين الخاصة بهم وهربت خارج المدينة	ع ن د م ا | ب د أ | ا ل م س ت أ ج ر و ن | م ش ا ر ك ة | م ا | ح د ث | ل ه م | أ د ر ك ت | م ع ظ م | ا ل ع ا ئ ل ا ت | ا ل م ع ن ي ة | ف ج أ ة | أ ن | ك ا ر و ل ي ن | و ي ل س و ن | م ن | ه ي ئ ة | ا ل إ س ك ا ن | ف ي | أ و ك ل ا ن د | ق د | س ر ق ت | و د ا ئ ع | ا ل ت أ م ي ن | ا ل خ ا ص ة | ب ه م | و ه ر ب ت | خ ا ر ج | ا ل م د ي ن ة |	233280	FEMALE
520	4577902636408268020.wav	كشفت عظام الأيدي بحفريّات تتراوح أعمارها بين مليوني وثلاثة ملايين عام عن هذا التحوّل في اختصاص اليد، من التنقّل إلى المناورة.	كشفت عظام الأيدي بحفريّات تتراوح أعمارها بين مليوني وثلاثة ملايين عام عن هذا التحوّل في اختصاص اليد من التنقّل إلى المناورة	ك ش ف ت | ع ظ ا م | ا ل أ ي د ي | ب ح ف ر ي ّ ا ت | ت ت ر ا و ح | أ ع م ا ر ه ا | ب ي ن | م ل ي و ن ي | و ث ل ا ث ة | م ل ا ي ي ن | ع ا م | ع ن | ه ذ ا | ا ل ت ح و ّ ل | ف ي | ا خ ت ص ا ص | ا ل ي د | م ن | ا ل ت ن ق ّ ل | إ ل ى | ا ل م ن ا و ر ة |	213120	FEMALE
107	11124263735672773816.wav	وصف المرشد الأعلى للبلاد، آية الله علي خامنئي، الاعتماد على النفط بأنه "فخ" يعود تاريخه إلى ما قبل الثورة الإسلامية الإيرانية عام 1979 ويجب أن تتحرر البلاد منه.	وصف المرشد الأعلى للبلاد آية الله علي خامنئي الاعتماد على النفط بأنه فخ يعود تاريخه إلى ما قبل الثورة الإسلامية الإيرانية عام 1979 ويجب أن تتحرر البلاد منه	و ص ف | ا ل م ر ش د | ا ل أ ع ل ى | ل ل ب ل ا د | آ ي ة | ا ل ل ه | ع ل ي | خ ا م ن ئ ي | ا ل ا ع ت م ا د | ع ل ى | ا ل ن ف ط | ب أ ن ه | ف خ | ي ع و د | ت ا ر ي خ ه | إ ل ى | م ا | ق ب ل | ا ل ث و ر ة | ا ل إ س ل ا م ي ة | ا ل إ ي ر ا ن ي ة | ع ا م | 1 9 7 9 | و ي ج ب | أ ن | ت ت ح ر ر | ا ل ب ل ا د | م ن ه |	264000	FEMALE
831	1588456282972737237.wav	في بعض القطارات العابرة للحدود تحصل تفتيشات على القطار المتحرك ويجب أن يكون لديكم هوية شخصية صالحة حين صعودكم إحدى هذه القطارات.	في بعض القطارات العابرة للحدود تحصل تفتيشات على القطار المتحرك ويجب أن يكون لديكم هوية شخصية صالحة حين صعودكم إحدى هذه القطارات	ف ي | ب ع ض | ا ل ق ط ا ر ا ت | ا ل ع ا ب ر ة | ل ل ح د و د | ت ح ص ل | ت ف ت ي ش ا ت | ع ل ى | ا ل ق ط ا ر | ا ل م ت ح ر ك | و ي ج ب | أ ن | ي ك و ن | ل د ي ك م | ه و ي ة | ش خ ص ي ة | ص ا ل ح ة | ح ي ن | ص ع و د ك م | إ ح د ى | ه ذ ه | ا ل ق ط ا ر ا ت |	184320	FEMALE
1015	13616934628188512381.wav	قال رئيس برنامج مكوك الفضاء بوكالة ناسا، ن. وين هالي الابن بأن الرغوة سقطت "بعد الوقت الذي نتخوّف منه".	قال رئيس برنامج مكوك الفضاء بوكالة ناسا ن وين هالي الابن بأن الرغوة سقطت بعد الوقت الذي نتخوّف منه	ق ا ل | ر ئ ي س | ب ر ن ا م ج | م ك و ك | ا ل ف ض ا ء | ب و ك ا ل ة | ن ا س ا | ن | و ي ن | ه ا ل ي | ا ل ا ب ن | ب أ ن | ا ل ر غ و ة | س ق ط ت | ب ع د | ا ل و ق ت | ا ل ذ ي | ن ت خ و ّ ف | م ن ه |	157440	FEMALE
1207	14287427379817762325.wav	يمكن أن يكون التعلم التفاعلي افتراضياً وعلى أرض الواقع، وبصياغةٍ أخرى، المعلم هو شكل من أشكال التعلم التفاعلي، وكذلك رجل مشبك الورق في مايكروسوفت أوفيس.	يمكن أن يكون التعلم التفاعلي افتراضياً وعلى أرض الواقع وبصياغةٍ أخرى المعلم هو شكل من أشكال التعلم التفاعلي وكذلك رجل مشبك الورق في مايكروسوفت أوفيس	ي م ك ن | أ ن | ي ك و ن | ا ل ت ع ل م | ا ل ت ف ا ع ل ي | ا ف ت ر ا ض ي ا ً | و ع ل ى | أ ر ض | ا ل و ا ق ع | و ب ص ي ا غ ة ٍ | أ خ ر ى | ا ل م ع ل م | ه و | ش ك ل | م ن | أ ش ك ا ل | ا ل ت ع ل م | ا ل ت ف ا ع ل ي | و ك ذ ل ك | ر ج ل | م ش ب ك | ا ل و ر ق | ف ي | م ا ي ك ر و س و ف ت | أ و ف ي س |	243840	FEMALE
757	476332162361825002.wav	تمثّل تركيبات الأثاث قديمة الطراز وعدم توافر وسائل الراحة الحديثة وجمال الطراز العتيق سمة مميزة لطابعها.	تمثّل تركيبات الأثاث قديمة الطراز وعدم توافر وسائل الراحة الحديثة وجمال الطراز العتيق سمة مميزة لطابعها	ت م ث ّ ل | ت ر ك ي ب ا ت | ا ل أ ث ا ث | ق د ي م ة | ا ل ط ر ا ز | و ع د م | ت و ا ف ر | و س ا ئ ل | ا ل ر ا ح ة | ا ل ح د ي ث ة | و ج م ا ل | ا ل ط ر ا ز | ا ل ع ت ي ق | س م ة | م م ي ز ة | ل ط ا ب ع ه ا |	144960	FEMALE
344	3252209166526723398.wav	في الأسبوع الماضي، أعلنت Naked News أنها سوف تزيد بشكل كبير من تفويضها الخاص باللغة الدولية في إعداد التقارير الإخبارية، مع بث ثلاث برامج جديدة.	في الأسبوع الماضي أعلنت naked news أنها سوف تزيد بشكل كبير من تفويضها الخاص باللغة الدولية في إعداد التقارير الإخبارية مع بث ثلاث برامج جديدة	ف ي | ا ل أ س ب و ع | ا ل م ا ض ي | أ ع ل ن ت | n a k e d | n e w s | أ ن ه ا | س و ف | ت ز ي د | ب ش ك ل | ك ب ي ر | م ن | ت ف و ي ض ه ا | ا ل خ ا ص | ب ا ل ل غ ة | ا ل د و ل ي ة | ف ي | إ ع د ا د | ا ل ت ق ا ر ي ر | ا ل إ خ ب ا ر ي ة | م ع | ب ث | ث ل ا ث | ب ر ا م ج | ج د ي د ة |	261120	FEMALE
444	8384550871623344827.wav	ثمانية عشر في المائة من الفنزويليين عاطلون عن العمل، ويعمل معظم الموظفون يعملون في الاقتصاد غير الرسمي.	ثمانية عشر في المائة من الفنزويليين عاطلون عن العمل ويعمل معظم الموظفون يعملون في الاقتصاد غير الرسمي	ث م ا ن ي ة | ع ش ر | ف ي | ا ل م ا ئ ة | م ن | ا ل ف ن ز و ي ل ي ي ن | ع ا ط ل و ن | ع ن | ا ل ع م ل | و ي ع م ل | م ع ظ م | ا ل م و ظ ف و ن | ي ع م ل و ن | ف ي | ا ل ا ق ت ص ا د | غ ي ر | ا ل ر س م ي |	153600	FEMALE
993	11636062413981808448.wav	يبلغ موسم السياحة في محطات التلال ذروته عامةً أثناء الصيف الهندي.	يبلغ موسم السياحة في محطات التلال ذروته عامةً أثناء الصيف الهندي	ي ب ل غ | م و س م | ا ل س ي ا ح ة | ف ي | م ح ط ا ت | ا ل ت ل ا ل | ذ ر و ت ه | ع ا م ة ً | أ ث ن ا ء | ا ل ص ي ف | ا ل ه ن د ي |	114240	MALE
285	12768963196929895762.wav	في الشهر المنقضي، شهدت بولندا احتجاجات كبرى عندما وقعت تلك الدولة على اتفاقية مكافحة التزييف التجارية، الأمر الذي أدى إلى اتخاذ الحكومة البولندية قراراً بعدم التصديق على الاتفاق في الوقت الراهن.	في الشهر المنقضي شهدت بولندا احتجاجات كبرى عندما وقعت تلك الدولة على اتفاقية مكافحة التزييف التجارية الأمر الذي أدى إلى اتخاذ الحكومة البولندية قراراً بعدم التصديق على الاتفاق في الوقت الراهن	ف ي | ا ل ش ه ر | ا ل م ن ق ض ي | ش ه د ت | ب و ل ن د ا | ا ح ت ج ا ج ا ت | ك ب ر ى | ع ن د م ا | و ق ع ت | ت ل ك | ا ل د و ل ة | ع ل ى | ا ت ف ا ق ي ة | م ك ا ف ح ة | ا ل ت ز ي ي ف | ا ل ت ج ا ر ي ة | ا ل أ م ر | ا ل ذ ي | أ د ى | إ ل ى | ا ت خ ا ذ | ا ل ح ك و م ة | ا ل ب و ل ن د ي ة | ق ر ا ر ا ً | ب ع د م | ا ل ت ص د ي ق | ع ل ى | ا ل ا ت ف ا ق | ف ي | ا ل و ق ت | ا ل ر ا ه ن |	243840	FEMALE
589	15002659398862520028.wav	على أمل أن يُدرك معظم الناس أن أفضل خياراتهم على المدى الطويل العمل معاً.	على أمل أن يُدرك معظم الناس أن أفضل خياراتهم على المدى الطويل العمل معاً	ع ل ى | أ م ل | أ ن | ي ُ د ر ك | م ع ظ م | ا ل ن ا س | أ ن | أ ف ض ل | خ ي ا ر ا ت ه م | ع ل ى | ا ل م د ى | ا ل ط و ي ل | ا ل ع م ل | م ع ا ً |	95040	FEMALE
793	12926859419839799489.wav	وأصبحت محلات السوبر ماركت تمتلك على نحو متزايد أقسام أطعمة جاهزة أكثر تنوعاً. حتى أن بعضها يوفر فرن ميكروويف أو وسائل أخرى لتسخين الطعام.	وأصبحت محلات السوبر ماركت تمتلك على نحو متزايد أقسام أطعمة جاهزة أكثر تنوعاً حتى أن بعضها يوفر فرن ميكروويف أو وسائل أخرى لتسخين الطعام	و أ ص ب ح ت | م ح ل ا ت | ا ل س و ب ر | م ا ر ك ت | ت م ت ل ك | ع ل ى | ن ح و | م ت ز ا ي د | أ ق س ا م | أ ط ع م ة | ج ا ه ز ة | أ ك ث ر | ت ن و ع ا ً | ح ت ى | أ ن | ب ع ض ه ا | ي و ف ر | ف ر ن | م ي ك ر و و ي ف | أ و | و س ا ئ ل | أ خ ر ى | ل ت س خ ي ن | ا ل ط ع ا م |	163200	MALE
171	14485761703148388340.wav	وقال المحافظ أيضاً: "تقول أخبار اليوم أنه قد تم التعرف على أطفال في سن المدرسة حيث كانوا على اتصال بالمريض".	وقال المحافظ أيضاً تقول أخبار اليوم أنه قد تم التعرف على أطفال في سن المدرسة حيث كانوا على اتصال بالمريض	و ق ا ل | ا ل م ح ا ف ظ | أ ي ض ا ً | ت ق و ل | أ خ ب ا ر | ا ل ي و م | أ ن ه | ق د | ت م | ا ل ت ع ر ف | ع ل ى | أ ط ف ا ل | ف ي | س ن | ا ل م د ر س ة | ح ي ث | ك ا ن و ا | ع ل ى | ا ت ص ا ل | ب ا ل م ر ي ض |	168960	FEMALE
227	9726263723939021625.wav	عُلم بوجودها فقط بسبب تأثيرها على تمدد الكون.	عُلم بوجودها فقط بسبب تأثيرها على تمدد الكون	ع ُ ل م | ب و ج و د ه ا | ف ق ط | ب س ب ب | ت أ ث ي ر ه ا | ع ل ى | ت م د د | ا ل ك و ن |	131520	FEMALE
1498	17621098563573160232.wav	تُقام العديد من الرحلات إلى الشعاب المرجانية على مدار العام، ونادراً ما تحدث إصابات للشعاب المرجانية لأي من هذه الأسباب.	تُقام العديد من الرحلات إلى الشعاب المرجانية على مدار العام ونادراً ما تحدث إصابات للشعاب المرجانية لأي من هذه الأسباب	ت ُ ق ا م | ا ل ع د ي د | م ن | ا ل ر ح ل ا ت | إ ل ى | ا ل ش ع ا ب | ا ل م ر ج ا ن ي ة | ع ل ى | م د ا ر | ا ل ع ا م | و ن ا د ر ا ً | م ا | ت ح د ث | إ ص ا ب ا ت | ل ل ش ع ا ب | ا ل م ر ج ا ن ي ة | ل أ ي | م ن | ه ذ ه | ا ل أ س ب ا ب |	134400	MALE
1170	4449005729924908887.wav	ندرك أن نظام الرعاية البديلة يعد منطقة الأمان لهؤلاء الأطفال.	ندرك أن نظام الرعاية البديلة يعد منطقة الأمان لهؤلاء الأطفال	ن د ر ك | أ ن | ن ظ ا م | ا ل ر ع ا ي ة | ا ل ب د ي ل ة | ي ع د | م ن ط ق ة | ا ل أ م ا ن | ل ه ؤ ل ا ء | ا ل أ ط ف ا ل |	104640	MALE
1139	6055459547021665365.wav	قد يحدث الطقس القاسي في أي مكان في العالم، وتوجد أنواع مختلفة منه اعتمادًا على الجغرافيا، والطبوغرافيا، والظروف الجوية.	قد يحدث الطقس القاسي في أي مكان في العالم وتوجد أنواع مختلفة منه اعتمادًا على الجغرافيا والطبوغرافيا والظروف الجوية	ق د | ي ح د ث | ا ل ط ق س | ا ل ق ا س ي | ف ي | أ ي | م ك ا ن | ف ي | ا ل ع ا ل م | و ت و ج د | أ ن و ا ع | م خ ت ل ف ة | م ن ه | ا ع ت م ا د ً ا | ع ل ى | ا ل ج غ ر ا ف ي ا | و ا ل ط ب و غ ر ا ف ي ا | و ا ل ظ ر و ف | ا ل ج و ي ة |	188160	FEMALE
1239	11388142436099191616.wav	وكل من يخطط لزيارة دولة قد تعتبر منطقة حرب فلابد وأن يحصل على تدريب مهني.	وكل من يخطط لزيارة دولة قد تعتبر منطقة حرب فلابد وأن يحصل على تدريب مهني	و ك ل | م ن | ي خ ط ط | ل ز ي ا ر ة | د و ل ة | ق د | ت ع ت ب ر | م ن ط ق ة | ح ر ب | ف ل ا ب د | و أ ن | ي ح ص ل | ع ل ى | ت د ر ي ب | م ه ن ي |	113280	FEMALE
