362	3727732812750922633.wav	Фотоните са по-малки дори от материята, която изгражда атомите!	фотоните са по-малки дори от материята която изгражда атомите!	ф о т о н и т е | с а | п о - м а л к и | д о р и | о т | м а т е р и я т а | к о я т о | и з г р а ж д а | а т о м и т е ! |	114240	MALE
926	1342236905437353236.wav	Ако дори правенето на снимка на нещо не е разрешено, не бива дори да си помисляш да запишеш видеоклип.	ако дори правенето на снимка на нещо не е разрешено не бива дори да си помисляш да запишеш видеоклип	а к о | д о р и | п р а в е н е т о | н а | с н и м к а | н а | н е щ о | н е | е | р а з р е ш е н о | н е | б и в а | д о р и | д а | с и | п о м и с л я ш | д а | з а п и ш е ш | в и д е о к л и п |	118080	FEMALE
1435	5222358393645318671.wav	Повечето насекоми имат предимството да сгъват крилата си назад по тялото.	повечето насекоми имат предимството да сгъват крилата си назад по тялото	п о в е ч е т о | н а с е к о м и | и м а т | п р е д и м с т в о т о | д а | с г ъ в а т | к р и л а т а | с и | н а з а д | п о | т я л о т о |	124800	FEMALE
31	1100790123479530817.wav	Затворът придоби лоша слава, след като там бе открито малтретиране на затворници, след като американските сили поеха контрола.	затворът придоби лоша слава след като там бе открито малтретиране на затворници след като американските сили поеха контрола	з а т в о р ъ т | п р и д о б и | л о ш а | с л а в а | с л е д | к а т о | т а м | б е | о т к р и т о | м а л т р е т и р а н е | н а | з а т в о р н и ц и | с л е д | к а т о | а м е р и к а н с к и т е | с и л и | п о е х а | к о н т р о л а |	192000	MALE
66	14518841212343082019.wav	Демонстрантите се надяват да съберат 1,2 милиона подписа за петиция, която да представят пред Националния конгрес през ноември.	демонстрантите се надяват да съберат 1,2 милиона подписа за петиция която да представят пред националния конгрес през ноември	д е м о н с т р а н т и т е | с е | н а д я в а т | д а | с ъ б е р а т | 1 , 2 | м и л и о н а | п о д п и с а | з а | п е т и ц и я | к о я т о | д а | п р е д с т а в я т | п р е д | н а ц и о н а л н и я | к о н г р е с | п р е з | н о е м в р и |	207360	MALE
861	8875340612313720865.wav	Чантите без надзор са обект на кражба и могат да привлекат внимание от властите, загрижени за бомбени заплахи.	чантите без надзор са обект на кражба и могат да привлекат внимание от властите загрижени за бомбени заплахи	ч а н т и т е | б е з | н а д з о р | с а | о б е к т | н а | к р а ж б а | и | м о г а т | д а | п р и в л е к а т | в н и м а н и е | о т | в л а с т и т е | з а г р и ж е н и | з а | б о м б е н и | з а п л а х и |	193920	MALE
614	4353410103425821960.wav	За дълъг период от време през деветнадесети и двадесети век се вярвало, че първите заселници на Нова Зеландия са били маорите, които ловели гигантските птици, наречени моа.	за дълъг период от време през деветнадесети и двадесети век се вярвало че първите заселници на нова зеландия са били маорите които ловели гигантските птици наречени моа	з а | д ъ л ъ г | п е р и о д | о т | в р е м е | п р е з | д е в е т н а д е с е т и | и | д в а д е с е т и | в е к | с е | в я р в а л о | ч е | п ъ р в и т е | з а с е л н и ц и | н а | н о в а | з е л а н д и я | с а | б и л и | м а о р и т е | к о и т о | л о в е л и | г и г а н т с к и т е | п т и ц и | н а р е ч е н и | м о а |	278400	MALE
384	9419890881793955574.wav	Тази флотилия е ръководена от Олаф Тригвасон, норвежец с амбиции да освободи страната си от датското господство.	тази флотилия е ръководена от олаф тригвасон норвежец с амбиции да освободи страната си от датското господство	т а з и | ф л о т и л и я | е | р ъ к о в о д е н а | о т | о л а ф | т р и г в а с о н | н о р в е ж е ц | с | а м б и ц и и | д а | о с в о б о д и | с т р а н а т а | с и | о т | д а т с к о т о | г о с п о д с т в о |	157440	MALE
1270	6815741878053594758.wav	Имало е тоалетни в древен Египет, Персия и Китай. В римската цивилизация тоалетните понякога са били част от обществени бани, където мъжете и жените в смесена компания са се събирали заедно.	имало е тоалетни в древен египет персия и китай. в римската цивилизация тоалетните понякога са били част от обществени бани където мъжете и жените в смесена компания са се събирали заедно	и м а л о | е | т о а л е т н и | в | д р е в е н | е г и п е т | п е р с и я | и | к и т а й . | в | р и м с к а т а | ц и в и л и з а ц и я | т о а л е т н и т е | п о н я к о г а | с а | б и л и | ч а с т | о т | о б щ е с т в е н и | б а н и | к ъ д е т о | м ъ ж е т е | и | ж е н и т е | в | с м е с е н а | к о м п а н и я | с а | с е | с ъ б и р а л и | з а е д н о |	176640	MALE
137	10724303684732860621.wav	Невротоксинът, произведен от водораслите, може да увреди нервите както на хората, така и на рибите.	невротоксинът произведен от водораслите може да увреди нервите както на хората така и на рибите	н е в р о т о к с и н ъ т | п р о и з в е д е н | о т | в о д о р а с л и т е | м о ж е | д а | у в р е д и | н е р в и т е | к а к т о | н а | х о р а т а | т а к а | и | н а | р и б и т е |	173760	FEMALE
564	4031246186239255408.wav	Проучването констатира, че депресията, страха и черногледството посредничат във връзката между болката и инвалидността при страдащите от болка в долната част на гърба.	проучването констатира че депресията страха и черногледството посредничат във връзката между болката и инвалидността при страдащите от болка в долната част на гърба	п р о у ч в а н е т о | к о н с т а т и р а | ч е | д е п р е с и я т а | с т р а х а | и | ч е р н о г л е д с т в о т о | п о с р е д н и ч а т | в ъ в | в р ъ з к а т а | м е ж д у | б о л к а т а | и | и н в а л и д н о с т т а | п р и | с т р а д а щ и т е | о т | б о л к а | в | д о л н а т а | ч а с т | н а | г ъ р б а |	215040	MALE
