1408	14937804473151608532.wav	Δημιούργησε περισσότερα από 1.000 γραμματόσημα για τη Σουηδία, καθώς και για άλλες 28 χώρες.	δημιούργησε περισσότερα από 1.000 γραμματόσημα για τη σουηδία καθώς και για άλλες 28 χώρες	δ η μ ι ο ύ ρ γ η σ ε | π ε ρ ι σ σ ό τ ε ρ α | α π ό | 1 . 0 0 0 | γ ρ α μ μ α τ ό σ η μ α | γ ι α | τ η | σ ο υ η δ ί α | κ α θ ώ ς | κ α ι | γ ι α | ά λ λ ε ς | 2 8 | χ ώ ρ ε ς |	121920	MALE
399	10695295447842453233.wav	Οι βασικοί στόχοι της Ιταλίας ήταν οι χώρες της Αφρικής. Για να καταλάβουν αυτές τις χώρες έπρεπε να διαθέτουν ένα στρατόπεδο εκκίνησης στρατευμάτων, ώστε τα στρατεύματα να μπορούν να πλέουν στη Μεσόγειο και να εισβάλουν στην Αφρική.	οι βασικοί στόχοι της ιταλίας ήταν οι χώρες της αφρικής για να καταλάβουν αυτές τις χώρες έπρεπε να διαθέτουν ένα στρατόπεδο εκκίνησης στρατευμάτων ώστε τα στρατεύματα να μπορούν να πλέουν στη μεσόγειο και να εισβάλουν στην αφρική	ο ι | β α σ ι κ ο ί | σ τ ό χ ο ι | τ η ς | ι τ α λ ί α ς | ή τ α ν | ο ι | χ ώ ρ ε ς | τ η ς | α φ ρ ι κ ή ς | γ ι α | ν α | κ α τ α λ ά β ο υ ν | α υ τ έ ς | τ ι ς | χ ώ ρ ε ς | έ π ρ ε π ε | ν α | δ ι α θ έ τ ο υ ν | έ ν α | σ τ ρ α τ ό π ε δ ο | ε κ κ ί ν η σ η ς | σ τ ρ α τ ε υ μ ά τ ω ν | ώ σ τ ε | τ α | σ τ ρ α τ ε ύ μ α τ α | ν α | μ π ο ρ ο ύ ν | ν α | π λ έ ο υ ν | σ τ η | μ ε σ ό γ ε ι ο | κ α ι | ν α | ε ι σ β ά λ ο υ ν | σ τ η ν | α φ ρ ι κ ή |	195840	MALE
920	12630487781563620671.wav	Έχει την ικανότητα να σώζει λεφτά από την προμήθεια νέων χαρτών για το GPS ή ανεξάρτητης μηχανής ή από τη μίσθωσή της από επιχείρηση μίσθωσης οχημάτων.	έχει την ικανότητα να σώζει λεφτά από την προμήθεια νέων χαρτών για το gps ή ανεξάρτητης μηχανής ή από τη μίσθωσή της από επιχείρηση μίσθωσης οχημάτων	έ χ ε ι | τ η ν | ι κ α ν ό τ η τ α | ν α | σ ώ ζ ε ι | λ ε φ τ ά | α π ό | τ η ν | π ρ ο μ ή θ ε ι α | ν έ ω ν | χ α ρ τ ώ ν | γ ι α | τ ο | g p s | ή | α ν ε ξ ά ρ τ η τ η ς | μ η χ α ν ή ς | ή | α π ό | τ η | μ ί σ θ ω σ ή | τ η ς | α π ό | ε π ι χ ε ί ρ η σ η | μ ί σ θ ω σ η ς | ο χ η μ ά τ ω ν |	173760	MALE
1277	14034799890661565088.wav	Εάν επιθυμείτε αλλά μικρά γευστικότατα αρτοσκευάσματα, δοκιμάστε αυτά που αποκαλούνται μπερλίνερ, φανκούχεν ή κράπφεν.	εάν επιθυμείτε αλλά μικρά γευστικότατα αρτοσκευάσματα δοκιμάστε αυτά που αποκαλούνται μπερλίνερ φανκούχεν ή κράπφεν	ε ά ν | ε π ι θ υ μ ε ί τ ε | α λ λ ά | μ ι κ ρ ά | γ ε υ σ τ ι κ ό τ α τ α | α ρ τ ο σ κ ε υ ά σ μ α τ α | δ ο κ ι μ ά σ τ ε | α υ τ ά | π ο υ | α π ο κ α λ ο ύ ν τ α ι | μ π ε ρ λ ί ν ε ρ | φ α ν κ ο ύ χ ε ν | ή | κ ρ ά π φ ε ν |	148800	FEMALE
437	891079026691194016.wav	Το Drukgyal Dzong είναι ένα ερειπωμένο φρούριο και βουδιστικό μοναστήρι στην άνω μεριά του Paro District, στο Phondey Village.	το drukgyal dzong είναι ένα ερειπωμένο φρούριο και βουδιστικό μοναστήρι στην άνω μεριά του paro district στο phondey village	τ ο | d r u k g y a l | d z o n g | ε ί ν α ι | έ ν α | ε ρ ε ι π ω μ έ ν ο | φ ρ ο ύ ρ ι ο | κ α ι | β ο υ δ ι σ τ ι κ ό | μ ο ν α σ τ ή ρ ι | σ τ η ν | ά ν ω | μ ε ρ ι ά | τ ο υ | p a r o | d i s t r i c t | σ τ ο | p h o n d e y | v i l l a g e |	194880	FEMALE
1267	12380843772017772990.wav	Συγκινούμουν κάθε φορά που το κάναμε πρόβα, από τα βάθη της καρδιάς μου.	συγκινούμουν κάθε φορά που το κάναμε πρόβα από τα βάθη της καρδιάς μου	σ υ γ κ ι ν ο ύ μ ο υ ν | κ ά θ ε | φ ο ρ ά | π ο υ | τ ο | κ ά ν α μ ε | π ρ ό β α | α π ό | τ α | β ά θ η | τ η ς | κ α ρ δ ι ά ς | μ ο υ |	100800	FEMALE
1162	15228172319445569365.wav	Δύο σύντροφοι μπορούν να αποφασίσουν πως το να μεγαλώσουν ένα βρέφος δεν είναι προς το συμφέρον τους ή το συμφέρον του παιδιού που έχουν.	δύο σύντροφοι μπορούν να αποφασίσουν πως το να μεγαλώσουν ένα βρέφος δεν είναι προς το συμφέρον τους ή το συμφέρον του παιδιού που έχουν	δ ύ ο | σ ύ ν τ ρ ο φ ο ι | μ π ο ρ ο ύ ν | ν α | α π ο φ α σ ί σ ο υ ν | π ω ς | τ ο | ν α | μ ε γ α λ ώ σ ο υ ν | έ ν α | β ρ έ φ ο ς | δ ε ν | ε ί ν α ι | π ρ ο ς | τ ο | σ υ μ φ έ ρ ο ν | τ ο υ ς | ή | τ ο | σ υ μ φ έ ρ ο ν | τ ο υ | π α ι δ ι ο ύ | π ο υ | έ χ ο υ ν |	115200	FEMALE
137	9437453291685729999.wav	Τα φύκη παράγουν μια νευροτοξίνη που μπορεί να παραλύσει τα νεύρα τόσο των ανθρώπων όσο και των ψαριών.	τα φύκη παράγουν μια νευροτοξίνη που μπορεί να παραλύσει τα νεύρα τόσο των ανθρώπων όσο και των ψαριών	τ α | φ ύ κ η | π α ρ ά γ ο υ ν | μ ι α | ν ε υ ρ ο τ ο ξ ί ν η | π ο υ | μ π ο ρ ε ί | ν α | π α ρ α λ ύ σ ε ι | τ α | ν ε ύ ρ α | τ ό σ ο | τ ω ν | α ν θ ρ ώ π ω ν | ό σ ο | κ α ι | τ ω ν | ψ α ρ ι ώ ν |	121920	FEMALE
510	1360329076266300816.wav	Δεν αποτελεί ανικανότητα μάθησης, αλλά διαταραχή μάθησης. «Το 3-5% των μαθητών, πιθανώς γύρω στα 2 εκατομμύρια Αμερικανών παιδιών, διαθέτει τη διαταραχή».	δεν αποτελεί ανικανότητα μάθησης αλλά διαταραχή μάθησης. «το 3-5% των μαθητών πιθανώς γύρω στα 2 εκατομμύρια αμερικανών παιδιών διαθέτει τη διαταραχή»	δ ε ν | α π ο τ ε λ ε ί | α ν ι κ α ν ό τ η τ α | μ ά θ η σ η ς | α λ λ ά | δ ι α τ α ρ α χ ή | μ ά θ η σ η ς . | « τ ο | 3 - 5 % | τ ω ν | μ α θ η τ ώ ν | π ι θ α ν ώ ς | γ ύ ρ ω | σ τ α | 2 | ε κ α τ ο μ μ ύ ρ ι α | α μ ε ρ ι κ α ν ώ ν | π α ι δ ι ώ ν | δ ι α θ έ τ ε ι | τ η | δ ι α τ α ρ α χ ή » |	156480	FEMALE
594	10823069270661176670.wav	Μόνο τα ζώα διαθέτουν εγκέφαλο (αν και όχι όλα, για παράδειγμα η μέδουσα δεν διαθέτει εγκέφαλο).	μόνο τα ζώα διαθέτουν εγκέφαλο αν και όχι όλα για παράδειγμα η μέδουσα δεν διαθέτει εγκέφαλο	μ ό ν ο | τ α | ζ ώ α | δ ι α θ έ τ ο υ ν | ε γ κ έ φ α λ ο | α ν | κ α ι | ό χ ι | ό λ α | γ ι α | π α ρ ά δ ε ι γ μ α | η | μ έ δ ο υ σ α | δ ε ν | δ ι α θ έ τ ε ι | ε γ κ έ φ α λ ο |	126720	MALE
1141	68544054304982773.wav	Ο αναπληρωτής γενικός επιθεωρητής Ντ. Κ. Άρια δήλωσε: «Έχουμε συλλάβει πέντε άτομα που βίασαν την Ελβετή και έχουμε ανακτήσει το κινητό και το λάπτοπ της.	ο αναπληρωτής γενικός επιθεωρητής ντ. κ. άρια δήλωσε: «έχουμε συλλάβει πέντε άτομα που βίασαν την ελβετή και έχουμε ανακτήσει το κινητό και το λάπτοπ της	ο | α ν α π λ η ρ ω τ ή ς | γ ε ν ι κ ό ς | ε π ι θ ε ω ρ η τ ή ς | ν τ . | κ . | ά ρ ι α | δ ή λ ω σ ε : | « έ χ ο υ μ ε | σ υ λ λ ά β ε ι | π έ ν τ ε | ά τ ο μ α | π ο υ | β ί α σ α ν | τ η ν | ε λ β ε τ ή | κ α ι | έ χ ο υ μ ε | α ν α κ τ ή σ ε ι | τ ο | κ ι ν η τ ό | κ α ι | τ ο | λ ά π τ ο π | τ η ς |	161280	FEMALE
