1039	303579745687635629.wav	Այն ինչ ես ասում եմ մարդկանց սա է՝ վերաբերվեք մեզ այնպես, ինչպես մենք ենք ձեզ վերաբերվում։	այն ինչ ես ասում եմ մարդկանց սա է վերաբերվեք մեզ այնպես ինչպես մենք ենք ձեզ վերաբերվում	ա յ ն | ի ն չ | ե ս | ա ս ո ւ մ | ե մ | մ ա ր դ կ ա ն ց | ս ա | է | վ ե ր ա բ ե ր վ ե ք | մ ե զ | ա յ ն պ ե ս | ի ն չ պ ե ս | մ ե ն ք | ե ն ք | ձ ե զ | վ ե ր ա բ ե ր վ ո ւ մ |	139200	MALE
37	9839780180215299319.wav	Տարածքում ընթանում է հինգ նոր երկնաքերերի շինարարություն, որոնց մեջտեղում կլինի տրանսպորտային կենտրոն և հուշազբոսայգի:	տարածքում ընթանում է հինգ նոր երկնաքերերի շինարարություն որոնց մեջտեղում կլինի տրանսպորտային կենտրոն և հուշազբոսայգի	տ ա ր ա ծ ք ո ւ մ | ը ն թ ա ն ո ւ մ | է | հ ի ն գ | ն ո ր | ե ր կ ն ա ք ե ր ե ր ի | շ ի ն ա ր ա ր ո ւ թ յ ո ւ ն | ո ր ո ն ց | մ ե ջ տ ե ղ ո ւ մ | կ լ ի ն ի | տ ր ա ն ս պ ո ր տ ա յ ի ն | կ ե ն տ ր ո ն | և | հ ո ւ շ ա զ բ ո ս ա յ գ ի |	128640	FEMALE
1291	12193104692984966974.wav	Համայնքի զայրույթը հանգեցրեց ներկայիս ջանքերին՝ կայքի համար նախագծելու սեռական բովանդակությանը վերաբերող քաղաքականություն, որը ներկայացնում է միլիոնավոր բաց լիցենզավորված լրատվամիջոցներ:	համայնքի զայրույթը հանգեցրեց ներկայիս ջանքերին կայքի համար նախագծելու սեռական բովանդակությանը վերաբերող քաղաքականություն որը ներկայացնում է միլիոնավոր բաց լիցենզավորված լրատվամիջոցներ	հ ա մ ա յ ն ք ի | զ ա յ ր ո ւ յ թ ը | հ ա ն գ ե ց ր ե ց | ն ե ր կ ա յ ի ս | ջ ա ն ք ե ր ի ն | կ ա յ ք ի | հ ա մ ա ր | ն ա խ ա գ ծ ե լ ո ւ | ս ե ռ ա կ ա ն | բ ո վ ա ն դ ա կ ո ւ թ յ ա ն ը | վ ե ր ա բ ե ր ո ղ | ք ա ղ ա ք ա կ ա ն ո ւ թ յ ո ւ ն | ո ր ը | ն ե ր կ ա յ ա ց ն ո ւ մ | է | մ ի լ ի ո ն ա վ ո ր | բ ա ց | լ ի ց ե ն զ ա վ ո ր վ ա ծ | լ ր ա տ վ ա մ ի ջ ո ց ն ե ր |	229440	MALE
1486	6302171105911863828.wav	Ենթադրվում է, որ 2016 թվականին նա կպայքարի նախագահի պաշտոնի համար:	ենթադրվում է որ 2016 թվականին նա կպայքարի նախագահի պաշտոնի համար	ե ն թ ա դ ր վ ո ւ մ | է | ո ր | 2 0 1 6 | թ վ ա կ ա ն ի ն | ն ա | կ պ ա յ ք ա ր ի | ն ա խ ա գ ա հ ի | պ ա շ տ ո ն ի | հ ա մ ա ր |	107520	FEMALE
372	180084975301333869.wav	Եռաեղջյուր դինոզավրը կարող էր օգտագործել իր ուժեղ կտուցը՝ բունն ուտելուց առաջ տերևները հեռացնելու նպատակով։	եռաեղջյուր դինոզավրը կարող էր օգտագործել իր ուժեղ կտուցը բունն ուտելուց առաջ տերևները հեռացնելու նպատակով	ե ռ ա ե ղ ջ յ ո ւ ր | դ ի ն ո զ ա վ ր ը | կ ա ր ո ղ | է ր | օ գ տ ա գ ո ր ծ ե լ | ի ր | ո ւ ժ ե ղ | կ տ ո ւ ց ը | բ ո ւ ն ն | ո ւ տ ե լ ո ւ ց | ա ռ ա ջ | տ ե ր և ն ե ր ը | հ ե ռ ա ց ն ե լ ո ւ | ն պ ա տ ա կ ո վ |	134400	MALE
265	1437609043412671896.wav	Կայանը պահպանեց իր կողմնորոշումը մինչև բաց տիեզերք դուրս գալու ավարտը՝ չնայած, որ տիեզերակայանի առաքելության ժամանակ դրանից առաջ կորցրել էր գիրոսկոպը:	կայանը պահպանեց իր կողմնորոշումը մինչև բաց տիեզերք դուրս գալու ավարտը չնայած որ տիեզերակայանի առաքելության ժամանակ դրանից առաջ կորցրել էր գիրոսկոպը	կ ա յ ա ն ը | պ ա հ պ ա ն ե ց | ի ր | կ ո ղ մ ն ո ր ո շ ո ւ մ ը | մ ի ն չ և | բ ա ց | տ ի ե զ ե ր ք | դ ո ւ ր ս | գ ա լ ո ւ | ա վ ա ր տ ը | չ ն ա յ ա ծ | ո ր | տ ի ե զ ե ր ա կ ա յ ա ն ի | ա ռ ա ք ե լ ո ւ թ յ ա ն | ժ ա մ ա ն ա կ | դ ր ա ն ի ց | ա ռ ա ջ | կ ո ր ց ր ե լ | է ր | գ ի ր ո ս կ ո պ ը |	189120	FEMALE
872	8675747795242096076.wav	Լցրեք ձեր տունը առավոտյան հարուստ սուրճով, իսկ գիշերը՝ հանգստացնող երիցուկի մի փոքր թեյով:	լցրեք ձեր տունը առավոտյան հարուստ սուրճով իսկ գիշերը հանգստացնող երիցուկի մի փոքր թեյով	լ ց ր ե ք | ձ ե ր | տ ո ւ ն ը | ա ռ ա վ ո տ յ ա ն | հ ա ր ո ւ ս տ | ս ո ւ ր ճ ո վ | ի ս կ | գ ի շ ե ր ը | հ ա ն գ ս տ ա ց ն ո ղ | ե ր ի ց ո ւ կ ի | մ ի | փ ո ք ր | թ ե յ ո վ |	124800	FEMALE
118	20686008024118308.wav	Էնցելադն արեգակնային համակարգի ամենաշատ անդրադարձնող օբյեկտն է՝ անդրադարձնելով իր վրա ընկնող արևի լույսի մոտ 90 տոկոսը։	էնցելադն արեգակնային համակարգի ամենաշատ անդրադարձնող օբյեկտն է անդրադարձնելով իր վրա ընկնող արևի լույսի մոտ 90 տոկոսը	է ն ց ե լ ա դ ն | ա ր ե գ ա կ ն ա յ ի ն | հ ա մ ա կ ա ր գ ի | ա մ ե ն ա շ ա տ | ա ն դ ր ա դ ա ր ձ ն ո ղ | օ բ յ ե կ տ ն | է | ա ն դ ր ա դ ա ր ձ ն ե լ ո վ | ի ր | վ ր ա | ը ն կ ն ո ղ | ա ր և ի | լ ո ւ յ ս ի | մ ո տ | 9 0 | տ ո կ ո ս ը |	139200	FEMALE
81	11845986549061456573.wav	Մարուչիդորն այնուհետև պարտության մատնեց Քաբուլտուրին նախնական եզրափակիչում:	մարուչիդորն այնուհետև պարտության մատնեց քաբուլտուրին նախնական եզրափակիչում	մ ա ր ո ւ չ ի դ ո ր ն | ա յ ն ո ւ հ ե տ և | պ ա ր տ ո ւ թ յ ա ն | մ ա տ ն ե ց | ք ա բ ո ւ լ տ ո ւ ր ի ն | ն ա խ ն ա կ ա ն | ե զ ր ա փ ա կ ի չ ո ւ մ |	158400	MALE
117	5427876667107249886.wav	Գիտնականները կասկածել են, որ Էնցելադուսը երկրաբանական տեսանկյունից ակտիվ է և հավանական աղբյուր է Սատուրնի սառցե E-աձև օղակի համար:	գիտնականները կասկածել են որ էնցելադուսը երկրաբանական տեսանկյունից ակտիվ է և հավանական աղբյուր է սատուրնի սառցե e-աձև օղակի համար:	գ ի տ ն ա կ ա ն ն ե ր ը | կ ա ս կ ա ծ ե լ | ե ն | ո ր | է ն ց ե լ ա դ ո ւ ս ը | ե ր կ ր ա բ ա ն ա կ ա ն | տ ե ս ա ն կ յ ո ւ ն ի ց | ա կ տ ի վ | է | և | հ ա վ ա ն ա կ ա ն | ա ղ բ յ ո ւ ր | է | ս ա տ ո ւ ր ն ի | ս ա ռ ց ե | e - ա ձ և | օ ղ ա կ ի | հ ա մ ա ր : |	273600	FEMALE
410	3561802566210589883.wav	Թութանհամոնի հետ թաղված իրերի մեծ մասը լավ պահպանվել է, որոնց թվում են թանկարժեք մետաղներից և հազվագյուտ քարերից պատրաստված պատմամշակութային հազարավոր առարկաներ:	թութանհամոնի հետ թաղված իրերի մեծ մասը լավ պահպանվել է որոնց թվում են թանկարժեք մետաղներից և հազվագյուտ քարերից պատրաստված պատմամշակութային հազարավոր առարկաներ	թ ո ւ թ ա ն հ ա մ ո ն ի | հ ե տ | թ ա ղ վ ա ծ | ի ր ե ր ի | մ ե ծ | մ ա ս ը | լ ա վ | պ ա հ պ ա ն վ ե լ | է | ո ր ո ն ց | թ վ ո ւ մ | ե ն | թ ա ն կ ա ր ժ ե ք | մ ե տ ա ղ ն ե ր ի ց | և | հ ա զ վ ա գ յ ո ւ տ | ք ա ր ե ր ի ց | պ ա տ ր ա ս տ վ ա ծ | պ ա տ մ ա մ շ ա կ ո ւ թ ա յ ի ն | հ ա զ ա ր ա վ ո ր | ա ռ ա ր կ ա ն ե ր |	202560	MALE
