1090	17489440875552726329.wav	Кейде күш қолданылған наразылықтарға сайлаудың 2011 жылдан бері өткізілмеуі себеп болды.	кейде күш қолданылған наразылықтарға сайлаудың 2011 жылдан бері өткізілмеуі себеп болды	к е й д е | к ү ш | қ о л д а н ы л ғ а н | н а р а з ы л ы қ т а р ғ а | с а й л а у д ы ң | 2 0 1 1 | ж ы л д а н | б е р і | ө т к і з і л м е у і | с е б е п | б о л д ы |	120960	MALE
1444	8799918028717183498.wav	Құрбандар болған, 25 жастағы Николас Алден және 21 жастағы Закари Куддебек. Куддебек жүргізуші болған.	құрбандар болған 25 жастағы николас алден және 21 жастағы закари куддебек куддебек жүргізуші болған	қ ұ р б а н д а р | б о л ғ а н | 2 5 | ж а с т а ғ ы | н и к о л а с | а л д е н | ж ә н е | 2 1 | ж а с т а ғ ы | з а к а р и | к у д д е б е к | к у д д е б е к | ж ү р г і з у ш і | б о л ғ а н |	178560	FEMALE
563	4130391991880406609.wav	Егер көмектесуге тырысып жарақаттансаңыз, тек жағдайды нашарлатуыңыз мүмкін.	егер көмектесуге тырысып жарақаттансаңыз тек жағдайды нашарлатуыңыз мүмкін	е г е р | к ө м е к т е с у г е | т ы р ы с ы п | ж а р а қ а т т а н с а ң ы з | т е к | ж а ғ д а й д ы | н а ш а р л а т у ы ң ы з | м ү м к і н |	155520	FEMALE
1295	4781926805471186947.wav	Зерттеулер әйелдердің көптеген склероз түрлеріне еркектерге қарағанда екі есе көп шалдығатынын анықтады.	зерттеулер әйелдердің көптеген склероз түрлеріне еркектерге қарағанда екі есе көп шалдығатынын анықтады	з е р т т е у л е р | ә й е л д е р д і ң | к ө п т е г е н | с к л е р о з | т ү р л е р і н е | е р к е к т е р г е | қ а р а ғ а н д а | е к і | е с е | к ө п | ш а л д ы ғ а т ы н ы н | а н ы қ т а д ы |	160320	FEMALE
1250	2932716239366705297.wav	Іс жүзінде (бұл шатастырады) 35 мм пішімінің ені 36 мм және биіктігі 24 мм.	іс жүзінде бұл шатастырады 35 мм пішімінің ені 36 мм және биіктігі 24 мм	і с | ж ү з і н д е | б ұ л | ш а т а с т ы р а д ы | 3 5 | м м | п і ш і м і н і ң | е н і | 3 6 | м м | ж ә н е | б и і к т і г і | 2 4 | м м |	196800	FEMALE
620	7179154669678130228.wav	Жеке тұлғалардың жеке, отбасылық және жұмыстағы оқиғаларын тыңдай отырып, ұйымның өткені мен оның мәдениетіне жақсы әсер еткен өмірден өткен кейбір адамдар туралы құнды мәлімет алдық.	жеке тұлғалардың жеке отбасылық және жұмыстағы оқиғаларын тыңдай отырып ұйымның өткені мен оның мәдениетіне жақсы әсер еткен өмірден өткен кейбір адамдар туралы құнды мәлімет алдық	ж е к е | т ұ л ғ а л а р д ы ң | ж е к е | о т б а с ы л ы қ | ж ә н е | ж ұ м ы с т а ғ ы | о қ и ғ а л а р ы н | т ы ң д а й | о т ы р ы п | ұ й ы м н ы ң | ө т к е н і | м е н | о н ы ң | м ә д е н и е т і н е | ж а қ с ы | ә с е р | е т к е н | ө м і р д е н | ө т к е н | к е й б і р | а д а м д а р | т у р а л ы | қ ұ н д ы | м ә л і м е т | а л д ы қ |	305280	FEMALE
463	13570030303048273877.wav	Бұл кескіннің бүкіл экранды жабуын қамтамасыз ету үшін істелген. Бұл оверскан деп аталады.	бұл кескіннің бүкіл экранды жабуын қамтамасыз ету үшін істелген бұл оверскан деп аталады	б ұ л | к е с к і н н і ң | б ү к і л | э к р а н д ы | ж а б у ы н | қ а м т а м а с ы з | е т у | ү ш і н | і с т е л г е н | б ұ л | о в е р с к а н | д е п | а т а л а д ы |	166080	FEMALE
1140	9146598450085597022.wav	Әрине, Филиппин адамдарын ұзақ эксплуатациялаудан алынған супертабыстар АҚШ империализмінің негізгі пайдасын құрайтын.	әрине филиппин адамдарын ұзақ эксплуатациялаудан алынған супертабыстар ақш империализмінің негізгі пайдасын құрайтын	ә р и н е | ф и л и п п и н | а д а м д а р ы н | ұ з а қ | э к с п л у а т а ц и я л а у д а н | а л ы н ғ а н | с у п е р т а б ы с т а р | а қ ш | и м п е р и а л и з м і н і ң | н е г і з г і | п а й д а с ы н | қ ұ р а й т ы н |	181440	MALE
22	4983743618634776081.wav	Сондай-ақ Сеның айтуынша Ма суретке әдемі түскенімен, шынайы құндылыққа ие емес.	сондай-ақ сеның айтуынша ма суретке әдемі түскенімен шынайы құндылыққа ие емес	с о н д а й - а қ | с е н ы ң | а й т у ы н ш а | м а | с у р е т к е | ә д е м і | т ү с к е н і м е н | ш ы н а й ы | қ ұ н д ы л ы қ қ а | и е | е м е с |	135360	MALE
964	2792903742065767178.wav	Осы аймаққа қатысты дипломатиялық даулар Армения мен Әзірбайжан арасындағы қатынастарды әлі бұзып келеді.	осы аймаққа қатысты дипломатиялық даулар армения мен әзірбайжан арасындағы қатынастарды әлі бұзып келеді	о с ы | а й м а қ қ а | қ а т ы с т ы | д и п л о м а т и я л ы қ | д а у л а р | а р м е н и я | м е н | ә з і р б а й ж а н | а р а с ы н д а ғ ы | қ а т ы н а с т а р д ы | ә л і | б ұ з ы п | к е л е д і |	127680	MALE
840	6846637288263272725.wav	Пуэблолардың шалғай орналасқанын ескере отырып, Альбукеркеге немесе Санта Феге бармай қандай да бір түнгі өмірге енемін деп ойламаңыз.	пуэблолардың шалғай орналасқанын ескере отырып альбукеркеге немесе санта феге бармай қандай да бір түнгі өмірге енемін деп ойламаңыз	п у э б л о л а р д ы ң | ш а л ғ а й | о р н а л а с қ а н ы н | е с к е р е | о т ы р ы п | а л ь б у к е р к е г е | н е м е с е | с а н т а | ф е г е | б а р м а й | қ а н д а й | д а | б і р | т ү н г і | ө м і р г е | е н е м і н | д е п | о й л а м а ң ы з |	216960	FEMALE
122	4824971244152507631.wav	Трансляциялау қызметтері туралы акт интернет мазмұнын реттейді, дегенмен интернет мазмұны ретінде қарастырылуы үішн ол серверде физикалық түрде болуы керек.	трансляциялау қызметтері туралы акт интернет мазмұнын реттейді дегенмен интернет мазмұны ретінде қарастырылуы үішн ол серверде физикалық түрде болуы керек	т р а н с л я ц и я л а у | қ ы з м е т т е р і | т у р а л ы | а к т | и н т е р н е т | м а з м ұ н ы н | р е т т е й д і | д е г е н м е н | и н т е р н е т | м а з м ұ н ы | р е т і н д е | қ а р а с т ы р ы л у ы | ү і ш н | о л | с е р в е р д е | ф и з и к а л ы қ | т ү р д е | б о л у ы | к е р е к |	263040	FEMALE
217	5533430832994917796.wav	Сквош, каратэ және роликті коньки спорт түрлерін Олимпиада бағдарламасына кіргізуге әрекеттер жасалды, сондай-ақ бейсбол және софтбол спорт түрлері 2005-жылы Олимпиада ойындарынан шығарып тасталды.	сквош каратэ және роликті коньки спорт түрлерін олимпиада бағдарламасына кіргізуге әрекеттер жасалды сондай-ақ бейсбол және софтбол спорт түрлері 2005-жылы олимпиада ойындарынан шығарып тасталды	с к в о ш | к а р а т э | ж ә н е | р о л и к т і | к о н ь к и | с п о р т | т ү р л е р і н | о л и м п и а д а | б а ғ д а р л а м а с ы н а | к і р г і з у г е | ә р е к е т т е р | ж а с а л д ы | с о н д а й - а қ | б е й с б о л | ж ә н е | с о ф т б о л | с п о р т | т ү р л е р і | 2 0 0 5 - ж ы л ы | о л и м п и а д а | о й ы н д а р ы н а н | ш ы ғ а р ы п | т а с т а л д ы |	369600	FEMALE
74	17830405347220694010.wav	Бірнеше жыл бұрын, Макис Триантафилопоулос деген журналист Alpha TV арнасындағы өзінің «Зоунгла» деген танымал телешоуында жариялаған ақпараттан кейін Петрос Мантоувалос өз өкілеттігін тапсырды, өйткені оның мекемесі заңсыз табыс табумен және коррупциямен айналысқан.	бірнеше жыл бұрын макис триантафилопоулос деген журналист alpha tv арнасындағы өзінің «зоунгла» деген танымал телешоуында жариялаған ақпараттан кейін петрос мантоувалос өз өкілеттігін тапсырды өйткені оның мекемесі заңсыз табыс табумен және коррупциямен айналысқан	б і р н е ш е | ж ы л | б ұ р ы н | м а к и с | т р и а н т а ф и л о п о у л о с | д е г е н | ж у р н а л и с т | a l p h a | t v | а р н а с ы н д а ғ ы | ө з і н і ң | « з о у н г л а » | д е г е н | т а н ы м а л | т е л е ш о у ы н д а | ж а р и я л а ғ а н | а қ п а р а т т а н | к е й і н | п е т р о с | м а н т о у в а л о с | ө з | ө к і л е т т і г і н | т а п с ы р д ы | ө й т к е н і | о н ы ң | м е к е м е с і | з а ң с ы з | т а б ы с | т а б у м е н | ж ә н е | к о р р у п ц и я м е н | а й н а л ы с қ а н |	400320	FEMALE
655	14271243374391221017.wav	Гренландияда қылмыс және шетелдіктерге теріс қатынас деген түсінік жоқ. Қалашықтардың өзінде де "ойлы-қырлы жерлер" бар.	гренландияда қылмыс және шетелдіктерге теріс қатынас деген түсінік жоқ қалашықтардың өзінде де ойлы-қырлы жерлер бар	г р е н л а н д и я д а | қ ы л м ы с | ж ә н е | ш е т е л д і к т е р г е | т е р і с | қ а т ы н а с | д е г е н | т ү с і н і к | ж о қ | қ а л а ш ы қ т а р д ы ң | ө з і н д е | д е | о й л ы - қ ы р л ы | ж е р л е р | б а р |	176640	MALE
861	15512298590950248672.wav	Қараусыз сөмкелер ұрлық нысаны болады, сонымен қатар бомба жарылысынан қауіптенетін билік органдарының назарын аударуы мүмкін.	қараусыз сөмкелер ұрлық нысаны болады сонымен қатар бомба жарылысынан қауіптенетін билік органдарының назарын аударуы мүмкін	қ а р а у с ы з | с ө м к е л е р | ұ р л ы қ | н ы с а н ы | б о л а д ы | с о н ы м е н | қ а т а р | б о м б а | ж а р ы л ы с ы н а н | қ а у і п т е н е т і н | б и л і к | о р г а н д а р ы н ы ң | н а з а р ы н | а у д а р у ы | м ү м к і н |	181440	FEMALE
