1135	10862876269915721767.wav	ការ​អាន​ឯកសារ​ជា​សារណៈ​លើកដំបូង​ ត្រូវ​ធ្វើ​ឡើង​ដោយ​លោក ចន នីសុន (John Nixon) នៅ​ក្នុង​ទីធ្លារានហាល​នៃ​អគារ​ឯករាជ្យ​ នៅ​ថ្ងៃទី8 ខែកក្កដា។	ការអានឯកសារជាសារណៈលើកដំបូង ត្រូវធ្វើឡើងដោយលោក ចន នីសុន john nixon នៅក្នុងទីធ្លារានហាលនៃអគារឯករាជ្យ នៅថ្ងៃទី8 ខែកក្កដា	ក ា រ អ ា ន ឯ ក ស ា រ ជ ា ស ា រ ណ ៈ ល ើ ក ដ ំ ប ូ ង | ត ្ រ ូ វ ធ ្ វ ើ ឡ ើ ង ដ ោ យ ល ោ ក | ច ន | ន ី ស ុ ន | j o h n | n i x o n | ន ៅ ក ្ ន ុ ង ទ ី ធ ្ ល ា រ ា ន ហ ា ល ន ៃ អ គ ា រ ឯ ក រ ា ជ ្ យ | ន ៅ ថ ្ ង ៃ ទ ី 8 | ខ ែ ក ក ្ ក ដ ា |	215040	MALE
503	15762303973161018741.wav	ឧទាហរណ៍ កុមារដែលកំណត់អត្តសញ្ញាណជាមួយនឹងក្រុមជនជាតិភាគតិច ដែលគេមានទស្សនៈយល់ឃើញថា ជាអ្នកធ្វើមិនបានល្អនៅសាលា ទំនងជាមិនធ្វើបានល្អនៅសាលាទេនៅពេលពួកគេបានរៀនអំពីមនោទស្សន៍ ដែលទាក់ទងនឹងពូជសាសន៍របស់ពួកគេ។	ឧទាហរណ៍ កុមារដែលកំណត់អត្តសញ្ញាណជាមួយនឹងក្រុមជនជាតិភាគតិច ដែលគេមានទស្សនៈយល់ឃើញថា ជាអ្នកធ្វើមិនបានល្អនៅសាលា ទំនងជាមិនធ្វើបានល្អនៅសាលាទេនៅពេលពួកគេបានរៀនអំពីមនោទស្សន៍ ដែលទាក់ទងនឹងពូជសាសន៍របស់ពួកគេ	ឧ ទ ា ហ រ ណ ៍ | ក ុ ម ា រ ដ ែ ល ក ំ ណ ត ់ អ ត ្ ត ស ញ ្ ញ ា ណ ជ ា ម ួ យ ន ឹ ង ក ្ រ ុ ម ជ ន ជ ា ត ិ ភ ា គ ត ិ ច | ដ ែ ល គ េ ម ា ន ទ ស ្ ស ន ៈ យ ល ់ ឃ ើ ញ ថ ា | ជ ា អ ្ ន ក ធ ្ វ ើ ម ិ ន ប ា ន ល ្ អ ន ៅ ស ា ល ា | ទ ំ ន ង ជ ា ម ិ ន ធ ្ វ ើ ប ា ន ល ្ អ ន ៅ ស ា ល ា ទ េ ន ៅ ព េ ល ព ួ ក គ េ ប ា ន រ ៀ ន អ ំ ព ី ម ន ោ ទ ស ្ ស ន ៍ | ដ ែ ល ទ ា ក ់ ទ ង ន ឹ ង ព ូ ជ ស ា ស ន ៍ រ ប ស ់ ព ួ ក គ េ |	314880	FEMALE
151	12725984146812160324.wav	ក្រុមហ៊ុន វើរជីន គ្រុប (Virgin Group) របស់លោក រីកឆាត ប្រានសុន (Richard Branson) បាន​ដេញ​ថ្លៃ​យក​ធនាគារ​ដែល​ត្រូវ​បាន​គេ​បដិសេធ​នៅ​មុន​ពេល​ការ​ធ្វើ​ជាតូបនីយកម្ម​របស់​ធនាគារ​។	ក្រុមហ៊ុន វើរជីន គ្រុប virgin group របស់លោក រីកឆាត ប្រានសុន richard branson បានដេញថ្លៃយកធនាគារដែលត្រូវបានគេបដិសេធនៅមុនពេលការធ្វើជាតូបនីយកម្មរបស់ធនាគារ	ក ្ រ ុ ម ហ ៊ ុ ន | វ ើ រ ជ ី ន | គ ្ រ ុ ប | v i r g i n | g r o u p | រ ប ស ់ ល ោ ក | រ ី ក ឆ ា ត | ប ្ រ ា ន ស ុ ន | r i c h a r d | b r a n s o n | ប ា ន ដ េ ញ ថ ្ ល ៃ យ ក ធ ន ា គ ា រ ដ ែ ល ត ្ រ ូ វ ប ា ន គ េ ប ដ ិ ស េ ធ ន ៅ ម ុ ន ព េ ល ក ា រ ធ ្ វ ើ ជ ា ត ូ ប ន ី យ ក ម ្ ម រ ប ស ់ ធ ន ា គ ា រ |	201600	FEMALE
317	3173042507257217988.wav	គាត់​ក៏​ធ្លាប់​ត្រូវ​បាន​រង​ការ​ចោទ​ប្រកាន់​ពី​បទ​រំលោភបំពាន​លើ​ច្បាប់​រក្សា​សិទ្ធិ​ថត​ចម្លង​ផង​ដែរ ប៉ុន្តែ​មិន​ត្រូវ​បាន​រង​បន្ទុក​នោះ​ទេ។	គាត់ក៏ធ្លាប់ត្រូវបានរងការចោទប្រកាន់ពីបទរំលោភបំពានលើច្បាប់រក្សាសិទ្ធិថតចម្លងផងដែរ ប៉ុន្តែមិនត្រូវបានរងបន្ទុកនោះទេ	គ ា ត ់ ក ៏ ធ ្ ល ា ប ់ ត ្ រ ូ វ ប ា ន រ ង ក ា រ ច ោ ទ ប ្ រ ក ា ន ់ ព ី ប ទ រ ំ ល ោ ភ ប ំ ព ា ន ល ើ ច ្ ប ា ប ់ រ ក ្ ស ា ស ិ ទ ្ ធ ិ ថ ត ច ម ្ ល ង ផ ង ដ ែ រ | ប ៉ ុ ន ្ ត ែ ម ិ ន ត ្ រ ូ វ ប ា ន រ ង ប ន ្ ទ ុ ក ន ោ ះ ទ េ |	182400	MALE
102	16285573444149684095.wav	គិតត្រឹមរសៀលថ្ងៃពុធ​​នេះ​ វ៉ាន​បំពង់ខ្យល់នៅបន្ត​លេចធ្លាយដដែល ​ប្រហែល​មកពីការរីកមាឌ​កម្តៅនៅខាងក្នុងធុង។	គិតត្រឹមរសៀលថ្ងៃពុធនេះ វ៉ានបំពង់ខ្យល់នៅបន្តលេចធ្លាយដដែល ប្រហែលមកពីការរីកមាឌកម្តៅនៅខាងក្នុងធុង	គ ិ ត ត ្ រ ឹ ម រ ស ៀ ល ថ ្ ង ៃ ព ុ ធ ន េ ះ | វ ៉ ា ន ប ំ ព ង ់ ខ ្ យ ល ់ ន ៅ ប ន ្ ត ល េ ច ធ ្ ល ា យ ដ ដ ែ ល | ប ្ រ ហ ែ ល ម ក ព ី ក ា រ រ ី ក ម ា ឌ ក ម ្ ត ៅ ន ៅ ខ ា ង ក ្ ន ុ ង ធ ុ ង |	192960	FEMALE
1097	3933426192842121499.wav	ជាញឹកញាប់ទីភ្នាក់ងារធ្វើដំណើរទាំងឡាយ​តែងមានការត្រូវរ៉ូវគ្នា​ជាមួយនឹង​សណ្ឋាគារ​មួយចំនួន បើទោះបីជា​អ្នកអាចរកវិធីកក់កន្លែងស្នាក់នៅតាមបែបផ្សេងដូចជា កន្លែងបោះតង់​ តាមរយៈទីភ្នាក់ងារធ្វើដំណើរណាមួយក្តី។	ជាញឹកញាប់ទីភ្នាក់ងារធ្វើដំណើរទាំងឡាយតែងមានការត្រូវរ៉ូវគ្នាជាមួយនឹងសណ្ឋាគារមួយចំនួន បើទោះបីជាអ្នកអាចរកវិធីកក់កន្លែងស្នាក់នៅតាមបែបផ្សេងដូចជា កន្លែងបោះតង់ តាមរយៈទីភ្នាក់ងារធ្វើដំណើរណាមួយក្តី	ជ ា ញ ឹ ក ញ ា ប ់ ទ ី ភ ្ ន ា ក ់ ង ា រ ធ ្ វ ើ ដ ំ ណ ើ រ ទ ា ំ ង ឡ ា យ ត ែ ង ម ា ន ក ា រ ត ្ រ ូ វ រ ៉ ូ វ គ ្ ន ា ជ ា ម ួ យ ន ឹ ង ស ណ ្ ឋ ា គ ា រ ម ួ យ ច ំ ន ួ ន | ប ើ ទ ោ ះ ប ី ជ ា អ ្ ន ក អ ា ច រ ក វ ិ ធ ី ក ក ់ ក ន ្ ល ែ ង ស ្ ន ា ក ់ ន ៅ ត ា ម ប ែ ប ផ ្ ស េ ង ដ ូ ច ជ ា | ក ន ្ ល ែ ង ប ោ ះ ត ង ់ | ត ា ម រ យ ៈ ទ ី ភ ្ ន ា ក ់ ង ា រ ធ ្ វ ើ ដ ំ ណ ើ រ ណ ា ម ួ យ ក ្ ត ី |	258240	MALE
1288	17735804900280246581.wav	សៀវភៅ និង ទស្សនាវដ្តីទាក់ទងនឹងការរស់នៅក្នុងព្រៃភ្នំក្រំថ្មនិងទីរហោស្ថានគឺជារឿងធម្មតា ប៉ុន្តែការបោះពុម្ពផ្សាយទាក់ទងនឹងតំបន់សង្គ្រាមគឺនៅមានតិចតួចណាស់។	សៀវភៅ និង ទស្សនាវដ្តីទាក់ទងនឹងការរស់នៅក្នុងព្រៃភ្នំក្រំថ្មនិងទីរហោស្ថានគឺជារឿងធម្មតា ប៉ុន្តែការបោះពុម្ពផ្សាយទាក់ទងនឹងតំបន់សង្គ្រាមគឺនៅមានតិចតួចណាស់	ស ៀ វ ភ ៅ | ន ិ ង | ទ ស ្ ស ន ា វ ដ ្ ត ី ទ ា ក ់ ទ ង ន ឹ ង ក ា រ រ ស ់ ន ៅ ក ្ ន ុ ង ព ្ រ ៃ ភ ្ ន ំ ក ្ រ ំ ថ ្ ម ន ិ ង ទ ី រ ហ ោ ស ្ ថ ា ន គ ឺ ជ ា រ ឿ ង ធ ម ្ ម ត ា | ប ៉ ុ ន ្ ត ែ ក ា រ ប ោ ះ ព ុ ម ្ ព ផ ្ ស ា យ ទ ា ក ់ ទ ង ន ឹ ង ត ំ ប ន ់ ស ង ្ គ ្ រ ា ម គ ឺ ន ៅ ម ា ន ត ិ ច ត ួ ច ណ ា ស ់ |	260160	MALE
1462	5899542362100661966.wav	សេចក្តីប្រកាសជាបម្រាមគឺគ្រាន់តែជាសេចក្តីសង្ខេបខ្លីនៃស្ថានភាពនយោបាយនៅក្នុងប្រទេសមួយប៉ុណ្ណោះ។	សេចក្តីប្រកាសជាបម្រាមគឺគ្រាន់តែជាសេចក្តីសង្ខេបខ្លីនៃស្ថានភាពនយោបាយនៅក្នុងប្រទេសមួយប៉ុណ្ណោះ	ស េ ច ក ្ ត ី ប ្ រ ក ា ស ជ ា ប ម ្ រ ា ម គ ឺ គ ្ រ ា ន ់ ត ែ ជ ា ស េ ច ក ្ ត ី ស ង ្ ខ េ ប ខ ្ ល ី ន ៃ ស ្ ថ ា ន ភ ា ព ន យ ោ ប ា យ ន ៅ ក ្ ន ុ ង ប ្ រ ទ េ ស ម ួ យ ប ៉ ុ ណ ្ ណ ោ ះ |	141120	FEMALE
92	8700783967623186670.wav	Lodin ក៏​បាន​លើក​ឡើងផង​ដែរ​ថា ​មន្រ្តី​បាន​សម្រេច​​​លុប​ចោល​ការ​បោះ​ឆ្នោត​ជា​ថ្មី​ ដើម្បី​​សន្សំ​សំចៃ​​ការ​ចំណាយ​របស់ពលរដ្ឋ​អាហ្វហ្គានីស្ថាន​ និង​ហានិភ័យ​ផ្នែក​សន្តិសុខ​ចំពោះ​​ការ​បោះ​ឆ្នោត​​មួយ​ទៀត​។	lodin ក៏បានលើកឡើងផងដែរថា មន្រ្តីបានសម្រេចលុបចោលការបោះឆ្នោតជាថ្មី ដើម្បីសន្សំសំចៃការចំណាយរបស់ពលរដ្ឋអាហ្វហ្គានីស្ថាន និងហានិភ័យផ្នែកសន្តិសុខចំពោះការបោះឆ្នោតមួយទៀត	l o d i n | ក ៏ ប ា ន ល ើ ក ឡ ើ ង ផ ង ដ ែ រ ថ ា | ម ន ្ រ ្ ត ី ប ា ន ស ម ្ រ េ ច ល ុ ប ច ោ ល ក ា រ ប ោ ះ ឆ ្ ន ោ ត ជ ា ថ ្ ម ី | ដ ើ ម ្ ប ី ស ន ្ ស ំ ស ំ ច ៃ ក ា រ ច ំ ណ ា យ រ ប ស ់ ព ល រ ដ ្ ឋ អ ា ហ ្ វ ហ ្ គ ា ន ី ស ្ ថ ា ន | ន ិ ង ហ ា ន ិ ភ ័ យ ផ ្ ន ែ ក ស ន ្ ត ិ ស ុ ខ ច ំ ព ោ ះ ក ា រ ប ោ ះ ឆ ្ ន ោ ត ម ួ យ ទ ៀ ត |	250560	MALE
111	7570406451000860771.wav	Stardust នឹងបង្កើតកំណត់ត្រាថ្មីគ្រប់ពេលវេលា​សម្រាប់​យានអវកាស​ដែលមានល្បឿនលឿនបំផុត​ដើម្បីវិល​ត្រឡប់មក​ផែនដីវិញ ដោយបំបែកកំណត់ត្រាមុន​នៅក្នុង​ខែឧសភា​ឆ្នាំ1969 ក្នុងអំឡុងពេលវិលត្រឡប់នៃ​ប្រភេទ​ Apollo X។	stardust នឹងបង្កើតកំណត់ត្រាថ្មីគ្រប់ពេលវេលាសម្រាប់យានអវកាសដែលមានល្បឿនលឿនបំផុតដើម្បីវិលត្រឡប់មកផែនដីវិញ ដោយបំបែកកំណត់ត្រាមុននៅក្នុងខែឧសភាឆ្នាំ1969 ក្នុងអំឡុងពេលវិលត្រឡប់នៃប្រភេទ apollo x	s t a r d u s t | ន ឹ ង ប ង ្ ក ើ ត ក ំ ណ ត ់ ត ្ រ ា ថ ្ ម ី គ ្ រ ប ់ ព េ ល វ េ ល ា ស ម ្ រ ា ប ់ យ ា ន អ វ ក ា ស ដ ែ ល ម ា ន ល ្ ប ឿ ន ល ឿ ន ប ំ ផ ុ ត ដ ើ ម ្ ប ី វ ិ ល ត ្ រ ឡ ប ់ ម ក ផ ែ ន ដ ី វ ិ ញ | ដ ោ យ ប ំ ប ែ ក ក ំ ណ ត ់ ត ្ រ ា ម ុ ន ន ៅ ក ្ ន ុ ង ខ ែ ឧ ស ភ ា ឆ ្ ន ា ំ 1 9 6 9 | ក ្ ន ុ ង អ ំ ឡ ុ ង ព េ ល វ ិ ល ត ្ រ ឡ ប ់ ន ៃ ប ្ រ ភ េ ទ | a p o l l o | x |	354240	MALE
