701	6523110200644756091.wav	دا غوښتنی د دواړه هیوادونو تر منځ د هجرت د منظم بهیر منځ ته راوړلو په خاطر طرحه شوي	دا غوښتنی د دواړه هیوادونو تر منځ د هجرت د منظم بهیر منځ ته راوړلو په خاطر طرحه شوي	د ا | غ و ښ ت ن ی | د | د و ا ړ ه | ه ی و ا د و ن و | ت ر | م ن ځ | د | ه ج ر ت | د | م ن ظ م | ب ه ی ر | م ن ځ | ت ه | ر ا و ړ ل و | پ ه | خ ا ط ر | ط ر ح ه | ش و ي |	178560	MALE
93	6252642898094830588.wav	ډیپلوماټان وایې چې دوی د افغانستان په اساسي قانون کې کافي شکونه پیداکړي دي تر څو ترې دا غیرضروري برخې لرې کړي.	ډیپلوماټان وایې چې دوی د افغانستان په اساسي قانون کې کافي شکونه پیداکړي دي تر څو ترې دا غیرضروري برخې لرې کړي	ډ ی پ ل و م ا ټ ا ن | و ا ی ې | چ ې | د و ی | د | ا ف غ ا ن س ت ا ن | پ ه | ا س ا س ي | ق ا ن و ن | ک ې | ک ا ف ي | ش ک و ن ه | پ ی د ا ک ړ ي | د ي | ت ر | څ و | ت ر ې | د ا | غ ی ر ض ر و ر ي | ب ر خ ې | ل ر ې | ک ړ ي |	142080	MALE
401	14485457968094394007.wav	اوس د جاپان لپاره، جاپان د برطانیې په څیر یو جزیروي هیواد دي	اوس د جاپان لپاره جاپان د برطانیې په څیر یو جزیروي هیواد دي	ا و س | د | ج ا پ ا ن | ل پ ا ر ه | ج ا پ ا ن | د | ب ر ط ا ن ی ې | پ ه | څ ی ر | ی و | ج ز ی ر و ي | ه ی و ا د | د ي |	125760	MALE
166	15944646364634665994.wav	د ممبۍ حمله کوونکې د کښتی د لارې د 2008 د نومبر په 26 نیټه رارسیدلی و . چې له ځان سره ګرنیټونه او اتومات وسلی راوړی وي . چې په متعددو هدفونو یې د چتر پتی شيوا چې chatar pati shivaji د اور ګاډی په تمځاې او مشهور تاج محل هوټل په ګډون باندي یې حملی وکړي	د ممبۍ حمله کوونکې د کښتی د لارې د 2008 د نومبر په 26 نیټه رارسیدلی و چې له ځان سره ګرنیټونه او اتومات وسلی راوړی وي چې په متعددو هدفونو یې د چتر پتی شيوا چې chatar pati shivaji د اور ګاډی په تمځاې او مشهور تاج محل هوټل په ګډون باندي یې حملی وکړي	د | م م ب ۍ | ح م ل ه | ک و و ن ک ې | د | ک ښ ت ی | د | ل ا ر ې | د | 2 0 0 8 | د | ن و م ب ر | پ ه | 2 6 | ن ی ټ ه | ر ا ر س ی د ل ی | و | چ ې | ل ه | ځ ا ن | س ر ه | ګ ر ن ی ټ و ن ه | ا و | ا ت و م ا ت | و س ل ی | ر ا و ړ ی | و ي | چ ې | پ ه | م ت ع د د و | ه د ف و ن و | ی ې | د | چ ت ر | پ ت ی | ش ي و ا | چ ې | c h a t a r | p a t i | s h i v a j i | د | ا و ر | ګ ا ډ ی | پ ه | ت م ځ ا ې | ا و | م ش ه و ر | ت ا ج | م ح ل | ه و ټ ل | پ ه | ګ ډ و ن | ب ا ن د ي | ی ې | ح م ل ی | و ک ړ ي |	403200	FEMALE
388	14658115977907427448.wav	هغه په اصل کې هنګول الفبا د هنیمجینجوم نوم ورکړ، چې "د خلکو لارښوونې لپاره سم غږونه" معنی یې لري.	هغه په اصل کې هنګول الفبا د هنیمجینجوم نوم ورکړ چې د خلکو لارښوونې لپاره سم غږونه معنی یې لري	ه غ ه | پ ه | ا ص ل | ک ې | ه ن ګ و ل | ا ل ف ب ا | د | ه ن ی م ج ی ن ج و م | ن و م | و ر ک ړ | چ ې | د | خ ل ک و | ل ا ر ښ و و ن ې | ل پ ا ر ه | س م | غ ږ و ن ه | م ع ن ی | ی ې | ل ر ي |	147840	MALE
327	13324689119019668669.wav	لکه څنګه چې طوفان د ځمکې له پريوتو لرې دی، د متحده ایالاتو یا کارابین لپاره د احتمالي اغیزو ارزونه کول لاهم ګران پاتې دي.	لکه څنګه چې طوفان د ځمکې له پريوتو لرې دی د متحده ایالاتو یا کارابین لپاره د احتمالي اغیزو ارزونه کول لاهم ګران پاتې دي	ل ک ه | څ ن ګ ه | چ ې | ط و ف ا ن | د | ځ م ک ې | ل ه | پ ر ي و ت و | ل ر ې | د ی | د | م ت ح د ه | ا ی ا ل ا ت و | ی ا | ک ا ر ا ب ی ن | ل پ ا ر ه | د | ا ح ت م ا ل ي | ا غ ی ز و | ا ر ز و ن ه | ک و ل | ل ا ه م | ګ ر ا ن | پ ا ت ې | د ي |	194880	MALE
757	18263043164766274987.wav	دپخوانی مود د جامو تناسب ،د اوسنی اسانتیا و کمښت ، او یو خاص ډول فخریه زړښت هم د هغوي د کرکتر یوه برخه وه	دپخوانی مود د جامو تناسب ،د اوسنی اسانتیا و کمښت ، او یو خاص ډول فخریه زړښت هم د هغوي د کرکتر یوه برخه وه	د پ خ و ا ن ی | م و د | د | ج ا م و | ت ن ا س ب | ، د | ا و س ن ی | ا س ا ن ت ی ا | و | ک م ښ ت | ، | ا و | ی و | خ ا ص | ډ و ل | ف خ ر ی ه | ز ړ ښ ت | ه م | د | ه غ و ي | د | ک ر ک ت ر | ی و ه | ب ر خ ه | و ه |	179520	MALE
109	15260661910333245983.wav	کیپسول به د ویشتل شوي ستوري چې په اسمان کې مزل کوي، په شان معلومیږي.	کیپسول به د ویشتل شوي ستوري چې په اسمان کې مزل کوي په شان معلومیږي	ک ی پ س و ل | ب ه | د | و ی ش ت ل | ش و ي | س ت و ر ي | چ ې | پ ه | ا س م ا ن | ک ې | م ز ل | ک و ي | پ ه | ش ا ن | م ع ل و م ی ږ ي |	138240	MALE
1440	9556313766888858824.wav	بڼه کې بدلون نوي جینیاتي تغیرات اضافه کوي، او انتخاب له لارې د اظهار شویو تغیراتو له ټولنې څخه لرې کیږي.	بڼه کې بدلون نوي جینیاتي تغیرات اضافه کوي او انتخاب له لارې د اظهار شویو تغیراتو له ټولنې څخه لرې کیږي	ب ڼ ه | ک ې | ب د ل و ن | ن و ي | ج ی ن ی ا ت ي | ت غ ی ر ا ت | ا ض ا ف ه | ک و ي | ا و | ا ن ت خ ا ب | ل ه | ل ا ر ې | د | ا ظ ه ا ر | ش و ی و | ت غ ی ر ا ت و | ل ه | ټ و ل ن ې | څ خ ه | ل ر ې | ک ی ږ ي |	240000	MALE
793	6421397660105422003.wav	سوپر مارکېټونه د مخکې څخه تیارو خوړو لپاره رنګارنګ ځایونه جوړوي ،ځینی خو د خوراک د ګرمولو په موخه مایکرو ويو او نور وسایل ترتیبوي	سوپر مارکېټونه د مخکې څخه تیارو خوړو لپاره رنګارنګ ځایونه جوړوي ،ځینی خو د خوراک د ګرمولو په موخه مایکرو ويو او نور وسایل ترتیبوي	س و پ ر | م ا ر ک ې ټ و ن ه | د | م خ ک ې | څ خ ه | ت ی ا ر و | خ و ړ و | ل پ ا ر ه | ر ن ګ ا ر ن ګ | ځ ا ی و ن ه | ج و ړ و ي | ، ځ ی ن ی | خ و | د | خ و ر ا ک | د | ګ ر م و ل و | پ ه | م و خ ه | م ا ی ک ر و | و ي و | ا و | ن و ر | و س ا ی ل | ت ر ت ی ب و ي |	221760	MALE
833	12880556831437424669.wav	نوملیکنه د ويزی د پروسی یو اضافی غوښتنه ده ، په ځینی هیوادونو کې تاسی باید خپله حاضری او د استګنی ځّای ادرس د محلي چارواکو سره ثبت کړي	نوملیکنه د ويزی د پروسی یو اضافی غوښتنه ده په ځینی هیوادونو کې تاسی باید خپله حاضری او د استګنی ځّای ادرس د محلي چارواکو سره ثبت کړي	ن و م ل ی ک ن ه | د | و ي ز ی | د | پ ر و س ی | ی و | ا ض ا ف ی | غ و ښ ت ن ه | د ه | پ ه | ځ ی ن ی | ه ی و ا د و ن و | ک ې | ت ا س ی | ب ا ی د | خ پ ل ه | ح ا ض ر ی | ا و | د | ا س ت ګ ن ی | ځ ّ ا ی | ا د ر س | د | م ح ل ي | چ ا ر و ا ک و | س ر ه | ث ب ت | ک ړ ي |	249600	MALE
