1446	16478509024581879724.wav	К 17 сентября 1939 года польская оборона уже была прорвана, и единственной надеждой было отступление и реорганизация вдоль румынского плацдарма.	к 17 сентября 1939 года польская оборона уже была прорвана и единственной надеждой было отступление и реорганизация вдоль румынского плацдарма	к | 1 7 | с е н т я б р я | 1 9 3 9 | г о д а | п о л ь с к а я | о б о р о н а | у ж е | б ы л а | п р о р в а н а | и | е д и н с т в е н н о й | н а д е ж д о й | б ы л о | о т с т у п л е н и е | и | р е о р г а н и з а ц и я | в д о л ь | р у м ы н с к о г о | п л а ц д а р м а |	445440	FEMALE
668	7494180618733873687.wav	Многие билеты, которые продаются в Интернете через такие аукционные сайты, как eBay или Craigslist, являются частично использованными многодневными билетами, которые позволяют посещать несколько парков в один день.	многие билеты которые продаются в интернете через такие аукционные сайты как ebay или craigslist являются частично использованными многодневными билетами которые позволяют посещать несколько парков в один день	м н о г и е | б и л е т ы | к о т о р ы е | п р о д а ю т с я | в | и н т е р н е т е | ч е р е з | т а к и е | а у к ц и о н н ы е | с а й т ы | к а к | e b a y | и л и | c r a i g s l i s t | я в л я ю т с я | ч а с т и ч н о | и с п о л ь з о в а н н ы м и | м н о г о д н е в н ы м и | б и л е т а м и | к о т о р ы е | п о з в о л я ю т | п о с е щ а т ь | н е с к о л ь к о | п а р к о в | в | о д и н | д е н ь |	317760	FEMALE
480	11150700604967895355.wav	Так вы как можно меньше устанете. Запомните, что не нужно сильно нажимать на клавиши для большей громкости, как на фортепиано.	так вы как можно меньше устанете запомните что не нужно сильно нажимать на клавиши для большей громкости как на фортепиано	т а к | в ы | к а к | м о ж н о | м е н ь ш е | у с т а н е т е | з а п о м н и т е | ч т о | н е | н у ж н о | с и л ь н о | н а ж и м а т ь | н а | к л а в и ш и | д л я | б о л ь ш е й | г р о м к о с т и | к а к | н а | ф о р т е п и а н о |	130560	MALE
861	1631268539706013390.wav	Оставленный без присмотра багаж представляет собой мишень для воров, а также может привлечь внимание органов безопасности, которые опасаются угрозы теракта.	оставленный без присмотра багаж представляет собой мишень для воров а также может привлечь внимание органов безопасности которые опасаются угрозы теракта	о с т а в л е н н ы й | б е з | п р и с м о т р а | б а г а ж | п р е д с т а в л я е т | с о б о й | м и ш е н ь | д л я | в о р о в | а | т а к ж е | м о ж е т | п р и в л е ч ь | в н и м а н и е | о р г а н о в | б е з о п а с н о с т и | к о т о р ы е | о п а с а ю т с я | у г р о з ы | т е р а к т а |	178560	FEMALE
1156	15708446496250705742.wav	Знак движения смычка вверх выглядит как V, а движение смычка вниз — как скоба или квадрат без нижней стороны.	знак движения смычка вверх выглядит как v а движение смычка вниз как скоба или квадрат без нижней стороны	з н а к | д в и ж е н и я | с м ы ч к а | в в е р х | в ы г л я д и т | к а к | v | а | д в и ж е н и е | с м ы ч к а | в н и з | к а к | с к о б а | и л и | к в а д р а т | б е з | н и ж н е й | с т о р о н ы |	158400	MALE
850	8684483022650404013.wav	Ханги готовится в горячей яме, вырытой в земле.	ханги готовится в горячей яме вырытой в земле	х а н г и | г о т о в и т с я | в | г о р я ч е й | я м е | в ы р ы т о й | в | з е м л е |	69120	FEMALE
1473	10999784553687965050.wav	Все отбежали от места, в котором произошла авария.	все отбежали от места в котором произошла авария	в с е | о т б е ж а л и | о т | м е с т а | в | к о т о р о м | п р о и з о ш л а | а в а р и я |	71040	FEMALE
324	4354132717362474436.wav	Тропический шторм "Даниэлла", четвёртый шторм с названием в сезоне ураганов в Атлантике 2010 года, образовался в восточной части Атлантического океана.	тропический шторм даниэлла четвёртый шторм с названием в сезоне ураганов в атлантике 2010 года образовался в восточной части атлантического океана	т р о п и ч е с к и й | ш т о р м | д а н и э л л а | ч е т в ё р т ы й | ш т о р м | с | н а з в а н и е м | в | с е з о н е | у р а г а н о в | в | а т л а н т и к е | 2 0 1 0 | г о д а | о б р а з о в а л с я | в | в о с т о ч н о й | ч а с т и | а т л а н т и ч е с к о г о | о к е а н а |	267840	FEMALE
502	4531604116745549738.wav	У детей формируется осознание расовых стереотипов в довольно раннем возрасте, и эти расовые стереотипы влияют на поведение.	у детей формируется осознание расовых стереотипов в довольно раннем возрасте и эти расовые стереотипы влияют на поведение	у | д е т е й | ф о р м и р у е т с я | о с о з н а н и е | р а с о в ы х | с т е р е о т и п о в | в | д о в о л ь н о | р а н н е м | в о з р а с т е | и | э т и | р а с о в ы е | с т е р е о т и п ы | в л и я ю т | н а | п о в е д е н и е |	152640	MALE
624	11009286082453438967.wav	Подобные успешные истории уменьшали страх перемен, одновременно создавая положительную предрасположенность к переменам в будущем.	подобные успешные истории уменьшали страх перемен одновременно создавая положительную предрасположенность к переменам в будущем	п о д о б н ы е | у с п е ш н ы е | и с т о р и и | у м е н ь ш а л и | с т р а х | п е р е м е н | о д н о в р е м е н н о | с о з д а в а я | п о л о ж и т е л ь н у ю | п р е д р а с п о л о ж е н н о с т ь | к | п е р е м е н а м | в | б у д у щ е м |	154560	MALE
