456	4136832718535352191.wav	اهو مسئلو گهٽ ٿيندو پيو وڃي ڇو تہ لينس ٺاهيندڙ لينس جي پئداوار ۾ اعليٰ معيار حاصل ڪن ٿا.	اهو مسئلو گهٽ ٿيندو پيو وڃي ڇو تہ لينس ٺاهيندڙ لينس جي پئداوار ۾ اعليٰ معيار حاصل ڪن ٿا	ا ه و | م س ئ ل و | گ ه ٽ | ٿ ي ن د و | پ ي و | و ڃ ي | ڇ و | ت ہ | ل ي ن س | ٺ ا ه ي ن د ڙ | ل ي ن س | ج ي | پ ئ د ا و ا ر | ۾ | ا ع ل ي ٰ | م ع ي ا ر | ح ا ص ل | ڪ ن | ٿ ا |	109440	FEMALE
268	4770855281259149058.wav	ورجينيا ۾ ان ڪيس جو مقدمو هليو هو ڇاڪاڻ تہ انٽرنيٽ خدمتون مهيا ڪندڙ AOL جو علائقو آهي، اها ڪمپني جنهن الزام لڳايا.	ورجينيا ۾ ان ڪيس جو مقدمو هليو هو ڇاڪاڻ تہ انٽرنيٽ خدمتون مهيا ڪندڙ aol جو علائقو آهي اها ڪمپني جنهن الزام لڳايا	و ر ج ي ن ي ا | ۾ | ا ن | ڪ ي س | ج و | م ق د م و | ه ل ي و | ه و | ڇ ا ڪ ا ڻ | ت ہ | ا ن ٽ ر ن ي ٽ | خ د م ت و ن | م ه ي ا | ڪ ن د ڙ | a o l | ج و | ع ل ا ئ ق و | آ ه ي | ا ه ا | ڪ م پ ن ي | ج ن ه ن | ا ل ز ا م | ل ڳ ا ي ا |	158400	MALE
792	6285661293983144313.wav	سپر مارڪيٽ ۾ خوراڪ خريد ڪرڻ عام طور تي کاڌو حاصل ڪرڻ جو سستو تريب طريقو آهي. پچائڻ جي موقعي کان علاوه، چونڊون پهريان-ٺهيل کاڌ خوراڪ جي شين تائين محدود هونديون آهن.	سپر مارڪيٽ ۾ خوراڪ خريد ڪرڻ عام طور تي کاڌو حاصل ڪرڻ جو سستو تريب طريقو آهي پچائڻ جي موقعي کان علاوه چونڊون پهريان-ٺهيل کاڌ خوراڪ جي شين تائين محدود هونديون آهن	س پ ر | م ا ر ڪ ي ٽ | ۾ | خ و ر ا ڪ | خ ر ي د | ڪ ر ڻ | ع ا م | ط و ر | ت ي | ک ا ڌ و | ح ا ص ل | ڪ ر ڻ | ج و | س س ت و | ت ر ي ب | ط ر ي ق و | آ ه ي | پ چ ا ئ ڻ | ج ي | م و ق ع ي | ک ا ن | ع ل ا و ه | چ و ن ڊ و ن | پ ه ر ي ا ن - ٺ ه ي ل | ک ا ڌ | خ و ر ا ڪ | ج ي | ش ي ن | ت ا ئ ي ن | م ح د و د | ه و ن د ي و ن | آ ه ن |	254400	MALE
344	14378616174964267225.wav	گذريل هفتي نيڪڊ نيوز اعلان ڪيو تہ اهو پنهنجي بين الاقوامي ٻولي جي مينڊيٽ کي ٽن نئين براد ڪاسٽن سان نيوز رپورٽنگ کي وڏي پئماني تي وڌائيندو.	گذريل هفتي نيڪڊ نيوز اعلان ڪيو تہ اهو پنهنجي بين الاقوامي ٻولي جي مينڊيٽ کي ٽن نئين براد ڪاسٽن سان نيوز رپورٽنگ کي وڏي پئماني تي وڌائيندو	گ ذ ر ي ل | ه ف ت ي | ن ي ڪ ڊ | ن ي و ز | ا ع ل ا ن | ڪ ي و | ت ہ | ا ه و | پ ن ه ن ج ي | ب ي ن | ا ل ا ق و ا م ي | ٻ و ل ي | ج ي | م ي ن ڊ ي ٽ | ک ي | ٽ ن | ن ئ ي ن | ب ر ا د | ڪ ا س ٽ ن | س ا ن | ن ي و ز | ر پ و ر ٽ ن گ | ک ي | و ڏ ي | پ ئ م ا ن ي | ت ي | و ڌ ا ئ ي ن د و |	211200	MALE
711	2315515793698981954.wav	چوٽي جي ويجهو هڪ ننڍي غفا آهي جنهن کان ضرور گذرڻ گهرجي، اهو بلڪل ننڍي ۽ ٻي صورت ۾ سوڙي آهي.	چوٽي جي ويجهو هڪ ننڍي غفا آهي جنهن کان ضرور گذرڻ گهرجي اهو بلڪل ننڍي ۽ ٻي صورت ۾ سوڙي آهي	چ و ٽ ي | ج ي | و ي ج ه و | ه ڪ | ن ن ڍ ي | غ ف ا | آ ه ي | ج ن ه ن | ک ا ن | ض ر و ر | گ ذ ر ڻ | گ ه ر ج ي | ا ه و | ب ل ڪ ل | ن ن ڍ ي | ۽ | ٻ ي | ص و ر ت | ۾ | س و ڙ ي | آ ه ي |	160320	MALE
500	9713776454646429245.wav	پيورلينڊ اوريگامي هن پابندي سان اوريگامي آهي تہ هڪ وقت ۾ صرف هڪ فولڊ ٺاهي سگهجي ٿو، وڌيڪ پيچيدہ فولڊ جهڙوڪ رورس فولڊ جي اجازت ناهي، ۽ سڀني فولڊن کي سڌيون جايون هونديون آهن.	پيورلينڊ اوريگامي هن پابندي سان اوريگامي آهي تہ هڪ وقت ۾ صرف هڪ فولڊ ٺاهي سگهجي ٿو وڌيڪ پيچيدہ فولڊ جهڙوڪ رورس فولڊ جي اجازت ناهي ۽ سڀني فولڊن کي سڌيون جايون هونديون آهن	پ ي و ر ل ي ن ڊ | ا و ر ي گ ا م ي | ه ن | پ ا ب ن د ي | س ا ن | ا و ر ي گ ا م ي | آ ه ي | ت ہ | ه ڪ | و ق ت | ۾ | ص ر ف | ه ڪ | ف و ل ڊ | ٺ ا ه ي | س گ ه ج ي | ٿ و | و ڌ ي ڪ | پ ي چ ي د ہ | ف و ل ڊ | ج ه ڙ و ڪ | ر و ر س | ف و ل ڊ | ج ي | ا ج ا ز ت | ن ا ه ي | ۽ | س ڀ ن ي | ف و ل ڊ ن | ک ي | س ڌ ي و ن | ج ا ي و ن | ه و ن د ي و ن | آ ه ن |	294720	FEMALE
705	16783231708663772685.wav	جيتوڻيڪ، اهو توهان جي پريشاني نه هجڻ گهرجي، ڇاڪاڻ ته اڪثر ڪري گاڏيون ڀرڻ لاءِ سياحن کي ادل بدل ڪيو ويندو آهي.	جيتوڻيڪ اهو توهان جي پريشاني نه هجڻ گهرجي ڇاڪاڻ ته اڪثر ڪري گاڏيون ڀرڻ لاءِ سياحن کي ادل بدل ڪيو ويندو آهي	ج ي ت و ڻ ي ڪ | ا ه و | ت و ه ا ن | ج ي | پ ر ي ش ا ن ي | ن ه | ه ج ڻ | گ ه ر ج ي | ڇ ا ڪ ا ڻ | ت ه | ا ڪ ث ر | ڪ ر ي | گ ا ڏ ي و ن | ڀ ر ڻ | ل ا ء ِ | س ي ا ح ن | ک ي | ا د ل | ب د ل | ڪ ي و | و ي ن د و | آ ه ي |	192000	MALE
440	9967258641497580242.wav	باهه لڳڻ کان پوءِ، قلعي کي محفوظ ۽ سلامت ڪيو ويو، جيڪو ڀوٽان جي سڀ کان وڌيڪ حيرت انگيز نظارن مان هڪ آهي.	باهه لڳڻ کان پوءِ قلعي کي محفوظ ۽ سلامت ڪيو ويو جيڪو ڀوٽان جي سڀ کان وڌيڪ حيرت انگيز نظارن مان هڪ آهي	ب ا ه ه | ل ڳ ڻ | ک ا ن | پ و ء ِ | ق ل ع ي | ک ي | م ح ف و ظ | ۽ | س ل ا م ت | ڪ ي و | و ي و | ج ي ڪ و | ڀ و ٽ ا ن | ج ي | س ڀ | ک ا ن | و ڌ ي ڪ | ح ي ر ت | ا ن گ ي ز | ن ظ ا ر ن | م ا ن | ه ڪ | آ ه ي |	180480	FEMALE
480	17699963660971790188.wav	هن طريقي سان توهان پنهنجي پاڻ کي گهٽ ٿڪائيندا. ياد رکو جيئن پياني تي وڏي آواز لاءِ ڪليدين کي زور سان دٻائڻ جي ضرورت نہ پوندي آهي.	هن طريقي سان توهان پنهنجي پاڻ کي گهٽ ٿڪائيندا ياد رکو جيئن پياني تي وڏي آواز لاءِ ڪليدين کي زور سان دٻائڻ جي ضرورت نہ پوندي آهي	ه ن | ط ر ي ق ي | س ا ن | ت و ه ا ن | پ ن ه ن ج ي | پ ا ڻ | ک ي | گ ه ٽ | ٿ ڪ ا ئ ي ن د ا | ي ا د | ر ک و | ج ي ئ ن | پ ي ا ن ي | ت ي | و ڏ ي | آ و ا ز | ل ا ء ِ | ڪ ل ي د ي ن | ک ي | ز و ر | س ا ن | د ٻ ا ئ ڻ | ج ي | ض ر و ر ت | ن ہ | پ و ن د ي | آ ه ي |	197760	MALE
114	184990243974581734.wav	آسٽريليا جي اڳوڻي اعتدال پسند حڪومت ريٽيفائي ڪيوٽو کي انڪار ڪندي چيو ته اهو ڪوئلي جي برآمد تي وڌيڪ ڀاڙڻ سان معيشت کي نقصان پهچائيندو، جڏهن ته انڊيا ۽ چين جهڙا ملڪ اخراج جي ٽارگيٽ جا پابند نه هئا.	آسٽريليا جي اڳوڻي اعتدال پسند حڪومت ريٽيفائي ڪيوٽو کي انڪار ڪندي چيو ته اهو ڪوئلي جي برآمد تي وڌيڪ ڀاڙڻ سان معيشت کي نقصان پهچائيندو جڏهن ته انڊيا ۽ چين جهڙا ملڪ اخراج جي ٽارگيٽ جا پابند نه هئا	آ س ٽ ر ي ل ي ا | ج ي | ا ڳ و ڻ ي | ا ع ت د ا ل | پ س ن د | ح ڪ و م ت | ر ي ٽ ي ف ا ئ ي | ڪ ي و ٽ و | ک ي | ا ن ڪ ا ر | ڪ ن د ي | چ ي و | ت ه | ا ه و | ڪ و ئ ل ي | ج ي | ب ر آ م د | ت ي | و ڌ ي ڪ | ڀ ا ڙ ڻ | س ا ن | م ع ي ش ت | ک ي | ن ق ص ا ن | پ ه چ ا ئ ي ن د و | ج ڏ ه ن | ت ه | ا ن ڊ ي ا | ۽ | چ ي ن | ج ه ڙ ا | م ل ڪ | ا خ ر ا ج | ج ي | ٽ ا ر گ ي ٽ | ج ا | پ ا ب ن د | ن ه | ه ئ ا |	312960	MALE
571	13675079091748509056.wav	جڏهن آبادي ۾ سڀئي ماڻهو هڪ خاص فينوٽائپڪ نشاني جي حوالي سان هڪجهڙا هوندا آهن تہ انهن کي مونومارفڪ چئبو آهي.	جڏهن آبادي ۾ سڀئي ماڻهو هڪ خاص فينوٽائپڪ نشاني جي حوالي سان هڪجهڙا هوندا آهن تہ انهن کي مونومارفڪ چئبو آهي	ج ڏ ه ن | آ ب ا د ي | ۾ | س ڀ ئ ي | م ا ڻ ه و | ه ڪ | خ ا ص | ف ي ن و ٽ ا ئ پ ڪ | ن ش ا ن ي | ج ي | ح و ا ل ي | س ا ن | ه ڪ ج ه ڙ ا | ه و ن د ا | آ ه ن | ت ہ | ا ن ه ن | ک ي | م و ن و م ا ر ف ڪ | چ ئ ب و | آ ه ي |	156480	MALE
