329	3534591073862641924.wav	Вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд.	вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд	в а й | с о л и | 1 9 4 5 | б а | д а с т а | ш о м и л | ш у д | в а | т о | с о л и | 1 9 5 8 | д а | ҳ а м и н | т и м | м о н д |	117120	MALE
847	1416507510301345792.wav	Партофтани бумеранг маҳорати машҳуре аст, кӣ бисёри сайёҳон мехоҳанд онро омузанд.	партофтани бумеранг маҳорати машҳуре аст кӣ бисёри сайёҳон мехоҳанд онро омузанд	п а р т о ф т а н и | б у м е р а н г | м а ҳ о р а т и | м а ш ҳ у р е | а с т | к ӣ | б и с ё р и | с а й ё ҳ о н | м е х о ҳ а н д | о н р о | о м у з а н д |	96960	MALE
820	3852310128336813221.wav	Ҳангоми сайёҳаткунӣ, интизор шавед, ки ҳамаи чиз ба мисли "ба хона баргаштанатон" нахоҳад буд. Одоб, қонунҳо, ғизо, тамбашавӣ, манзил, стандартҳо, забон ва ғайра то як дараҷа аз ҷои зистатон фарқ хоҳанд кард.	ҳангоми сайёҳаткунӣ интизор шавед ки ҳамаи чиз ба мисли ба хона баргаштанатон нахоҳад буд одоб қонунҳо ғизо тамбашавӣ манзил стандартҳо забон ва ғайра то як дараҷа аз ҷои зистатон фарқ хоҳанд кард	ҳ а н г о м и | с а й ё ҳ а т к у н ӣ | и н т и з о р | ш а в е д | к и | ҳ а м а и | ч и з | б а | м и с л и | б а | х о н а | б а р г а ш т а н а т о н | н а х о ҳ а д | б у д | о д о б | қ о н у н ҳ о | ғ и з о | т а м б а ш а в ӣ | м а н з и л | с т а н д а р т ҳ о | з а б о н | в а | ғ а й р а | т о | я к | д а р а ҷ а | а з | ҷ о и | з и с т а т о н | ф а р қ | х о ҳ а н д | к а р д |	322560	FEMALE
1320	7259193626976273268.wav	Ба ҷазираҳои Шетланди Ҷанубӣ, ки соли 1819 кашф шудааст, якчанд кишварҳо иддао доранд ва аз ҳама бештар пойгоҳ доранд, ки дар соли 2020 шонздаҳ пойгоҳаш амалкунанда мебошанд.	ба ҷазираҳои шетланди ҷанубӣ ки соли 1819 кашф шудааст якчанд кишварҳо иддао доранд ва аз ҳама бештар пойгоҳ доранд ки дар соли 2020 шонздаҳ пойгоҳаш амалкунанда мебошанд	б а | ҷ а з и р а ҳ о и | ш е т л а н д и | ҷ а н у б ӣ | к и | с о л и | 1 8 1 9 | к а ш ф | ш у д а а с т | я к ч а н д | к и ш в а р ҳ о | и д д а о | д о р а н д | в а | а з | ҳ а м а | б е ш т а р | п о й г о ҳ | д о р а н д | к и | д а р | с о л и | 2 0 2 0 | ш о н з д а ҳ | п о й г о ҳ а ш | а м а л к у н а н д а | м е б о ш а н д |	243840	MALE
60	14672788986060874848.wav	Ин боссҳо аз ҷониби Провенсано вақте ки ӯ ба ҷанги Риина алайҳи давлатеро анҷом дод, ки соли 1992 ҷони салибондорони мафия Ҷованни Фалконе ва Паоло Борселлиноро рабурда буд, дастгир шуда буд."	ин боссҳо аз ҷониби провенсано вақте ки ӯ ба ҷанги риина алайҳи давлатеро анҷом дод ки соли 1992 ҷони салибондорони мафия ҷованни фалконе ва паоло борселлиноро рабурда буд дастгир шуда буд	и н | б о с с ҳ о | а з | ҷ о н и б и | п р о в е н с а н о | в а қ т е | к и | ӯ | б а | ҷ а н г и | р и и н а | а л а й ҳ и | д а в л а т е р о | а н ҷ о м | д о д | к и | с о л и | 1 9 9 2 | ҷ о н и | с а л и б о н д о р о н и | м а ф и я | ҷ о в а н н и | ф а л к о н е | в а | п а о л о | б о р с е л л и н о р о | р а б у р д а | б у д | д а с т г и р | ш у д а | б у д |	479040	FEMALE
671	3753975457691827753.wav	Иҷозатномаҳо барои ҳифзи дара маҳдуд буда, дар санаи 1-уми моҳ, чор моҳ қабл аз оғози моҳ дастрас мегарданд.	иҷозатномаҳо барои ҳифзи дара маҳдуд буда дар санаи 1-уми моҳ чор моҳ қабл аз оғози моҳ дастрас мегарданд	и ҷ о з а т н о м а ҳ о | б а р о и | ҳ и ф з и | д а р а | м а ҳ д у д | б у д а | д а р | с а н а и | 1 - у м и | м о ҳ | ч о р | м о ҳ | қ а б л | а з | о ғ о з и | м о ҳ | д а с т р а с | м е г а р д а н д |	165120	FEMALE
389	1203879124898889505.wav	Дар бораи пайдошавии санскрит назарияҳои зиёде мавҷуд ҳастанд. Яке аз назарияҳо – ин муҳоҷирати ориёиҳо аз ғарб ба Ҳиндустон мебошад, ки забони онҳоро бо худ овардаанд.	дар бораи пайдошавии санскрит назарияҳои зиёде мавҷуд ҳастанд яке аз назарияҳо ин муҳоҷирати ориёиҳо аз ғарб ба ҳиндустон мебошад ки забони онҳоро бо худ овардаанд	д а р | б о р а и | п а й д о ш а в и и | с а н с к р и т | н а з а р и я ҳ о и | з и ё д е | м а в ҷ у д | ҳ а с т а н д | я к е | а з | н а з а р и я ҳ о | и н | м у ҳ о ҷ и р а т и | о р и ё и ҳ о | а з | ғ а р б | б а | ҳ и н д у с т о н | м е б о ш а д | к и | з а б о н и | о н ҳ о р о | б о | х у д | о в а р д а а н д |	221760	FEMALE
647	17661915913484142883.wav	Таҷрибаи кунунии мо бо тамоми фаъолиятҳои ҳаваскорона ва омӯзишӣ ин нуктаро нишон медиҳад.	таҷрибаи кунунии мо бо тамоми фаъолиятҳои ҳаваскорона ва омӯзишӣ ин нуктаро нишон медиҳад	т а ҷ р и б а и | к у н у н и и | м о | б о | т а м о м и | ф а ъ о л и я т ҳ о и | ҳ а в а с к о р о н а | в а | о м ӯ з и ш ӣ | и н | н у к т а р о | н и ш о н | м е д и ҳ а д |	129600	MALE
292	491610589840974495.wav	Фаъолшавии назарраси сейсмикӣ, ки ба тағйирёбии марҳила оварда расонд, рӯзи 10 март дар тарафи шимолу шарқии калдераи вулқони қулла ба амал омад.	фаъолшавии назарраси сейсмикӣ ки ба тағйирёбии марҳила оварда расонд рӯзи 10 март дар тарафи шимолу шарқии калдераи вулқони қулла ба амал омад	ф а ъ о л ш а в и и | н а з а р р а с и | с е й с м и к ӣ | к и | б а | т а ғ й и р ё б и и | м а р ҳ и л а | о в а р д а | р а с о н д | р ӯ з и | 1 0 | м а р т | д а р | т а р а ф и | ш и м о л у | ш а р қ и и | к а л д е р а и | в у л қ о н и | қ у л л а | б а | а м а л | о м а д |	203520	MALE
1082	10298534838816189042.wav	Онро хеле тунук карда, ба металли дигар часпондан мумкин аст. Онро чунон тунук кардан мумкин аст, ки баъзан онро барои оро додани тасвирҳои ба таври дастӣ кашидашуда дар китобҳо бо номи "дастхатҳои мунаввар" истифода мебурданд.	онро хеле тунук карда ба металли дигар часпондан мумкин аст онро чунон тунук кардан мумкин аст ки баъзан онро барои оро додани тасвирҳои ба таври дастӣ кашидашуда дар китобҳо бо номи дастхатҳои мунаввар истифода мебурданд	о н р о | х е л е | т у н у к | к а р д а | б а | м е т а л л и | д и г а р | ч а с п о н д а н | м у м к и н | а с т | о н р о | ч у н о н | т у н у к | к а р д а н | м у м к и н | а с т | к и | б а ъ з а н | о н р о | б а р о и | о р о | д о д а н и | т а с в и р ҳ о и | б а | т а в р и | д а с т ӣ | к а ш и д а ш у д а | д а р | к и т о б ҳ о | б о | н о м и | д а с т х а т ҳ о и | м у н а в в а р | и с т и ф о д а | м е б у р д а н д |	345600	MALE
665	4317819448517524393.wav	Сайёҳаткунӣ ба ҷаҳони Уолт Дисней барои аксари хонаводаҳои амрикоӣ зиёрати бузургест.	сайёҳаткунӣ ба ҷаҳони уолт дисней барои аксари хонаводаҳои амрикоӣ зиёрати бузургест	с а й ё ҳ а т к у н ӣ | б а | ҷ а ҳ о н и | у о л т | д и с н е й | б а р о и | а к с а р и | х о н а в о д а ҳ о и | а м р и к о ӣ | з и ё р а т и | б у з у р г е с т |	194880	MALE
521	6968559324809132477.wav	Баъзеи одамон чунин ақида доранд, ки аз сар гузаронидани бисёр хобҳои возеҳу равшани ба таври сунъӣ ба вуҷудовардашуда аксар вақт метавонад хеле хастакунанда бошад.	баъзеи одамон чунин ақида доранд ки аз сар гузаронидани бисёр хобҳои возеҳу равшани ба таври сунъӣ ба вуҷудовардашуда аксар вақт метавонад хеле хастакунанда бошад	б а ъ з е и | о д а м о н | ч у н и н | а қ и д а | д о р а н д | к и | а з | с а р | г у з а р о н и д а н и | б и с ё р | х о б ҳ о и | в о з е ҳ у | р а в ш а н и | б а | т а в р и | с у н ъ ӣ | б а | в у ҷ у д о в а р д а ш у д а | а к с а р | в а қ т | м е т а в о н а д | х е л е | х а с т а к у н а н д а | б о ш а д |	222720	FEMALE
